(Do Not Modify) Construction Renovation Factor,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,School Type,Upper Limit Space Allocation,Factor,Name,Owner,Status,Status Reason
60feacaf-87c8-ea11-a812-000d3af43595,huCVvXmk+ZLR01VL/j5R1etKWN2iLF7BR0H9hE4oylZWK4ve2z3DqqPzeKzWYp+xPtZS5b1veN8OI+bjmKkg3A==,7/17/2020 23:48,Elementary,249,0.200,,Albus Dumbledore,Active,Active
a7ecb5b5-87c8-ea11-a812-000d3af43595,WhqPsc21o1L1oVwB/E2UbTqBJb1A4cN8xMMYSQaZJF6U6R/09BZFmVxLaS6L+9Q+342+Iw2X0wE2gu9APDEIoQ==,7/17/2020 23:48,Elementary,499,0.150,,Albus Dumbledore,Active,Active
d4efb2bb-87c8-ea11-a812-000d3af43595,8bO//QHFVHS2mbTReHJXJ+nRJNYZBeh6V4fToNiNFvxhexnkB19x7FyuSDEvbVwz06KiMYF5SQMHAWUB91uepA==,7/17/2020 23:48,Elementary,749,0.120,,Albus Dumbledore,Active,Active
5fb5d3c1-87c8-ea11-a812-000d3af43595,wKAMF9Mh13Yqu1jVin0dHlp10z2BvR7HSUmPgvqD2uzVdLAgbp99CvxQ8GRBIDdVISO8XdQA5U3xBL7sywjzbw==,7/17/2020 23:48,Elementary,999,0.095,,Albus Dumbledore,Active,Active
525ebac8-87c8-ea11-a812-000d3af43595,Rbkz7gZ+Cr0reh00uZ2C+mEbdkJPUWDBzA9EUQ2Fvv+s3XGtfzHgxD8aJQZFB1tFxlwnZ9mUlVfOVYbGHytsHg==,7/17/2020 23:48,Elementary,1249,0.075,,Albus Dumbledore,Active,Active
bfeb36db-87c8-ea11-a812-000d3af43595,4V5alCsHI97gr/AlHlGi2kUNuk7Ivl5ngqrXoDfvq+E7Hc07wVpoTBh0sMIg4VeExpapXWq0Ao432D3aCzwF3Q==,7/17/2020 23:48,Elementary,1499,0.065,,Albus Dumbledore,Active,Active
27af57e1-87c8-ea11-a812-000d3af43595,gZRaq2BCzh8OV1Zm/hVoa00V/GmyLppr/2E9YaCODF1uBTZeNiTu0YKDidyZLngB2l7QIv+xeiGwbsL49gk/Tg==,7/17/2020 23:48,Elementary,1749,0.055,,Albus Dumbledore,Active,Active
7ab157e1-87c8-ea11-a812-000d3af43595,cexaUNezjkJfVxBKbM/ZRPyqQ95aU20N02QmwT1SKfceS4Kta9+X3P4Asoe4BKq6IRGfG6z0008xfdIKETHExA==,7/17/2020 23:48,Elementary,2000,0.050,,Albus Dumbledore,Active,Active
8a189f14-88c8-ea11-a812-000d3af43595,2M82q+pR3nZLn1EFsYVfmyaLV/hIWhGZTOwGehGnHFvt6s0ASyeeE1DC+xE1x1jQqGzMcE5ZC2Cm9+29236cKQ==,7/17/2020 23:49,Junior Middle,249,0.210,,Albus Dumbledore,Active,Active
f8c5281b-88c8-ea11-a812-000d3af43595,eofwSm35nKzS78N9uCJ0diVwtade5gSU33e0xEJqqmyCIw3IckjB2uv0sXWAY6PD9fLyThyKxzGJkXTN+y60mg==,7/17/2020 23:49,Junior Middle,499,0.155,,Albus Dumbledore,Active,Active
d7fe2021-88c8-ea11-a812-000d3af43595,dGh46e8tlktbasWd9u0jcuZ/N9Ize5CweW9A+QqbnsH2oQOqRdQ8vCc6bY7HYnn+sojbOYWD6FYo8Krmt4tCaw==,7/17/2020 23:49,Junior Middle,749,0.125,,Albus Dumbledore,Active,Active
957dd72d-88c8-ea11-a812-000d3af43595,y8B0ilw8b/t3+vZ1UP8UREtYNIP2SxoacskklskCN/zMXW4GkPHanOvkJPsBFTKqNS2PmLZPyV75Jw+evWw5oQ==,7/17/2020 23:49,Junior Middle,999,0.100,,Albus Dumbledore,Active,Active
f4c0cf33-88c8-ea11-a812-000d3af43595,8ip72O988lPkczJkRym/3ncz1mkGyWl7Fdz3UgYWd+lBNsuPUz50YJIeeTc9OuRrJWGNFu/bE3m0kG0u9F98Qg==,7/17/2020 23:50,Junior Middle,1249,0.080,,Albus Dumbledore,Active,Active
