(Do Not Modify) Construction Renovation Factor,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,School Type,Upper Limit Space Allocation,Factor,Name,Owner,Status,Status Reason
590e873a-88c8-ea11-a812-000d3af43595,oT2aL+S87rRqDQDhJasQkfaZRZZr2Q11F3GlkGObtEINnho3K97DzaetA3f3CiCFYh5cgXxxapR88qRNEtxlzw==,7/17/2020 23:50,Junior Middle,1499,0.070,,Albus Dumbledore,Active,Active
61628140-88c8-ea11-a812-000d3af43595,PhHWQPEEncPLu2Up+6qv+uPcoUl/Zm9fPM2ymJbZp9bGO3tXfKp92qGIrUjDEiLhEqjyHNXP1vrh4rz+O/SI7g==,7/17/2020 23:50,Junior Middle,1749,0.060,,Albus Dumbledore,Active,Active
8cca9846-88c8-ea11-a812-000d3af43595,uxE50tL3f/9cXQo+HjTCbJrvmQwXyuFyLxqZ+kRt5BO65a9BLfJXzSwq+98E2BT2YWh9ylDRS99eVN5gb9g5cg==,7/17/2020 23:50,Junior Middle,2000,0.055,,Albus Dumbledore,Active,Active
5208dca3-88c8-ea11-a812-000d3af43595,Ivygak/i9Ij9HAN5SdDQdADstZu5Y9xbvtTDQlIPkLwly5lcJlSsl2DiARgazrXWJMOOvhcWiITV7kQ9oGD2cw==,7/17/2020 23:52,Secondary,249,0.220,,Albus Dumbledore,Active,Active
7308dca3-88c8-ea11-a812-000d3af43595,mY8CJ6Rh2BnD8IToNSjF91MQQg+s1x/AwHo7pox/i76RGTtV/PwR8dW4zVmnWBI+UK7XpoJbrRV/Lnp2ZXvp1A==,7/17/2020 23:53,Secondary,499,0.160,,Albus Dumbledore,Active,Active
6e96e2a9-88c8-ea11-a812-000d3af43595,8Whyj9agpInfKHcxgt3L/QoGfDQaD4JdOY+zMan2aAz7+8lrPVCDNiNaauUVtJDUNBbxjqv6+bqsk7bdvqVzsw==,7/17/2020 23:53,Secondary,749,0.130,,Albus Dumbledore,Active,Active
7034fcaf-88c8-ea11-a812-000d3af43595,LGAlogqNFwJGYkFK/SprXTg578df6l3fRJ8VERays21Oz4C9k8J/uCXtDHc2QCq3TPLx2DbvNGjz/GWRTdxxtA==,7/17/2020 23:53,Secondary,999,0.105,,Albus Dumbledore,Active,Active
0740f6bb-88c8-ea11-a812-000d3af43595,ab1DIUBdzNtkt45YqjsUJ4k73aHPo8VO6WmUcF955NnySSFLCkxYMiCTvfPyY9f7Pz6PBRalWWbSftrRSE/7mw==,7/17/2020 23:53,Secondary,1249,0.085,,Albus Dumbledore,Active,Active
f441f6bb-88c8-ea11-a812-000d3af43595,/O3AunjKbLFl0XEebbw8w2UHHLnjU5Oy8avavSat1sA4DkQ00qdMmAyOa+pEQt1sn5WjXApU5f5jp1xQueQXMQ==,7/17/2020 23:53,Secondary,1499,0.070,,Albus Dumbledore,Active,Active
3bd2fcc1-88c8-ea11-a812-000d3af43595,r3MPYX+Fj3meQb5WxcIrPl1X/8d0v4NySKZqhgbBMe6KIxE2aU1/dZJQyp57JCn0RolaHti3OVxMcLvzrRfS0Q==,7/17/2020 23:53,Secondary,1749,0.060,,Albus Dumbledore,Active,Active
fd5d00ce-88c8-ea11-a812-000d3af43595,5u87ArGHxW/QacH8RyVtxkxosbgTc03zO2Wfa7E1ZUsgoL7g2z4lLPJWCAt7au/vhBhfiuFHoRATrKLDmHKY6w==,7/17/2020 23:54,Secondary,1749,0.060,,Albus Dumbledore,Active,Active
2b5e00ce-88c8-ea11-a812-000d3af43595,vBoVJlmpcRdQ6U0gZW4ACp7d7EaxHUmkrnirDlxIx/MEtxQmvjxlEefcarX8ip/bae9sC24afNvTsObmf8DKRg==,7/17/2020 23:54,Secondary,2000,0.055,,Albus Dumbledore,Active,Active
0a175859-88c8-ea11-a812-000d3af43595,UXTvbZM5R0mmmhK+I0VlqlLWegkOmHRazRJxzjDmwB1Q24lYK4LUADRdDNgsaU0p8F6HQOwLp1ZyKEoLPh0KuA==,7/17/2020 23:51,Senior Middle,249,0.210,,Albus Dumbledore,Active,Active
c62dc265-88c8-ea11-a812-000d3af43595,K8dz1TQe6aokI19QUlb9BjdoQAN6NlwPM67Q8mOR6D4VucAjbgv4D4T1bqCJQJ4Trq4Swrd6SB0Rs1ltqeCxoA==,7/17/2020 23:51,Senior Middle,499,0.155,,Albus Dumbledore,Active,Active
e42dc265-88c8-ea11-a812-000d3af43595,k3tXvrN4Y7OXcmQZ9C85979rpV5YUTfsEpkZGhbSMrgjguDbkEPd3cvTJPACzehHXsqkZeeTNj373n2pwWfCjQ==,7/17/2020 23:51,Senior Middle,749,0.125,,Albus Dumbledore,Active,Active
12842072-88c8-ea11-a812-000d3af43595,BByy/COybkyFOhvHTwQVEH8LmBsJOjyN82UDOMng3uZkCGEj47Af4WDIfPTwim7R5JWcoT/vDsAKAHsKNxiJqw==,7/17/2020 23:51,Senior Middle,999,0.100,,Albus Dumbledore,Active,Active
c2d46978-88c8-ea11-a812-000d3af43595,tr1j0BXbgzClOw0vhbJRWJDpUUBaWjAkEUN/z23TXVEqwxwAXT/Pzj1RJ5EmZKr/ZpMs6x/lyO6GYYeHUcEfWA==,7/17/2020 23:51,Senior Middle,1249,0.080,,Albus Dumbledore,Active,Active
ba31f17e-88c8-ea11-a812-000d3af43595,oi7cxLxtEW6KdEJ1zrEzdAbCmYuslHT880S8I1VtFXFTuPncwZBu80jB+VM02YcvPod78GOPLvi8Az6zxKQSFA==,7/17/2020 23:51,Senior Middle,1499,0.070,,Albus Dumbledore,Active,Active
38201985-88c8-ea11-a812-000d3af43595,fu8Xn7dvwnd+ty4M1aRn55gshGflHjve/hMnd5hs3syqqFs7jGRH5BqF/9gX9MSlPyWtW4VLl+qyf3hgacZTXg==,7/17/2020 23:52,Senior Middle,1749,0.060,,Albus Dumbledore,Active,Active
59a89b8b-88c8-ea11-a812-000d3af43595,KIsY/9DGc526EyOz/IGoArMfw9aivJE/U5lP0COqgf/TCMIvhRGyJh3n2fOjHIV3yBoSyv1q8/tlMQac1muM1w==,7/17/2020 23:52,Senior Middle,2000,0.055,,Albus Dumbledore,Active,Active
