(Do Not Modify) School Type,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,School Type,Base Budget Rate,Replacement,500m² Addition,1000m² Addition,2000m² Addition,New School < 1500,New School > 1500,Reports and Studies Design Fees,Seismic Reports and Studies Design Fees,Equipment Allowance New Space,Equipment Allowance Replacement Space,Owner,Status,Status Reason
35a90756-e8c7-ea11-a812-000d3af42496,lP/xQKdSbRF+xMb33/w0fQbys6/k9Z7FYHa2YOaXGWHv8ByLgc4KT9Jl8iKE9XpVaVOu8p/oOhylftEewFoCRA==,8/2/2020 16:52,Elementary,2850,1000000,125000,250000,250000,1450000,1450000,0.1200,0.1600,0.1300,0.0975,Albus Dumbledore,Active,Active
a0eeff5b-e8c7-ea11-a812-000d3af42496,Ebmb4u0zd8eJlUxCTAwyWZrFLFqtLnV7LsIs+EC8xhHAYNc4DXAyNPwBkdHolVOkmj8KxjuqSPZA2/GcDSOs0A==,8/2/2020 16:52,Junior Middle,2840,1500000,125000,250000,500000,2500000,3500000,0.1400,0.1600,0.2160,0.1620,Albus Dumbledore,Active,Active
60884987-55c8-ea11-a812-000d3af43595,6b15ONv0LWCavn5EvvYKRXJZRrni8/EZ+d96sTXtLSkSO6Sqq8+QUbg69yPeK7Opm2p1LP4HK2RImO+c5y5E4g==,8/2/2020 16:52,Senior Middle,2840,1500000,125000,250000,500000,2500000,3500000,0.1400,0.1600,0.2160,0.1620,Albus Dumbledore,Active,Active
2d770a64-e8c7-ea11-a812-000d3af42496,6nO2vE+bmByKxxCJ5l+Z/IWQk16Lojpd9hdrhDU8EU9obItXYgUURN5zrU5h0k0J2T7uYB0iGPvGRmFqPBriMg==,8/2/2020 16:51,Secondary,2830,1500000,125000,250000,500000,2500000,3500000,0.1500,0.1600,0.2590,0.1940,Albus Dumbledore,Active,Active
