(Do Not Modify) Bus Type,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Eligible Age,Eligible Kilometrage,Owner,Status,Status Reason,Total Bus Cost
3023a2f6-dd72-ea11-a811-000d3af43595,V0A3Ti4TWiMT62iFz9nAb1dcigX/u/NwtpvYFeDaN0Ttj7JrYZp976SKoBJEEcg2F93OKXqq4hXHWJKkYmRXCg==,4/17/2020 16:25,A2 Over 6350Kg (24-33),3/30/2020 16:27,10,250000,Albus Dumbledore,Active,Active,84948
6568b3ea-dd72-ea11-a811-000d3af43595,vVNjLaAOOnb5SsDX6L9RGUKFhYHSI0V3c3OVCrkZAmkCrFsBlXfXdX6d9l9k5DAVcGuVWICLX9VN21QPQ/s8Yw==,4/17/2020 16:25,A2 Under 6350Kg (1-24),3/30/2020 16:26,10,250000,Albus Dumbledore,Active,Active,86086
4886fb0f-de72-ea11-a811-000d3af43595,ozE6nhZFNtfDeBBDvAQFby6iVF3BALGt4/fRQHf6+HBAKHP0lQaTEFgscIEM+HoDTnlR4VfsaH6EhfqhdbH2yQ==,4/17/2020 16:25,C (34-45),3/30/2020 16:27,12,325000,Albus Dumbledore,Active,Active,130141
a6f0fa15-de72-ea11-a811-000d3af43595,6ECiaHnMxCBtEAJG1QhJtYB9q2N3PIomiPHWpv9ZrxFIadaM4bPabv+4gTwpSd6JlN9xF3bgjfYwiBtlmrcOhg==,4/17/2020 16:25,C (46-51),3/30/2020 16:28,12,325000,Albus Dumbledore,Active,Active,134278
24936124-de72-ea11-a811-000d3af43595,MQx7YZuSPceNS8PNwL2vfH9QpB8HGcVvtzHXMSrQF/fd40xK77NSODKZcckUyfAbz08i2O6ZjidJIy+kbUcmKw==,4/17/2020 16:25,C (52-57),3/30/2020 16:28,12,325000,Albus Dumbledore,Active,Active,136157
a5c33f2e-de72-ea11-a811-000d3af43595,X8r+7F/kAsncbOzTBZA12ppNje8+GjpaiujD0clCK6FSoS5aDxYntDfLvd64sNxZy0YjR2xe5XHh9SlE6QyJTw==,4/17/2020 16:25,C (58-63),3/30/2020 16:28,12,325000,Albus Dumbledore,Active,Active,137232
caac7334-de72-ea11-a811-000d3af43595,6n9NWd/+ZpHogchUcD2SVIVkD4ysL6wwuBwwrXJrAKQoVJzsWa+Ts/05YmU1SBsDhpMv4zHFybajHgjtwVPfSA==,4/17/2020 16:25,C (64-69),3/30/2020 16:28,12,325000,Albus Dumbledore,Active,Active,138830
58a8e644-de72-ea11-a811-000d3af43595,tRg6x16i0MYTOZHqseXhrT/goDmiklcx2GJsv0OqFyki1uq7IiVC3GTY6cq0mw6eIjYCe2Rnky0drr5f2d4enw==,4/17/2020 16:26,C (70-75),3/30/2020 16:29,12,325000,Albus Dumbledore,Active,Active,140544
8600de5a-de72-ea11-a811-000d3af43595,WViBIfYjXDll1Nb6617qBcw7R0wfD5Rekh4gP3Wj+lvIZAo7vFYL6Rit95hOGQmOGVAuoHHKFuX1O6uwW8vadw==,4/17/2020 16:26,C 76,3/30/2020 16:29,12,325000,Albus Dumbledore,Active,Active,141483
8c21c86c-de72-ea11-a811-000d3af43595,OtttvGJ5W2EybuhN84126ADJ1v2+eVknBGVroWOTNxzyWMRzd/hWYe+bCoJCrShrPz0NyLSq6SOZs7rXaabqFw==,4/17/2020 16:26,D (80+FE),3/30/2020 16:30,15,400000,Albus Dumbledore,Active,Active,169499
38d5c578-de72-ea11-a811-000d3af43595,oV5PXuHQW7J/YUyhnEESZoKAl0ZpCvwLmdu+seNuo3bfd+eVUwmb43TkM5AODzoQ7dnDAd1AiW1utKAeTj8pSA==,4/17/2020 16:26,D (80+RE),3/30/2020 16:30,15,400000,Albus Dumbledore,Active,Active,177903
