(Do Not Modify) Bus Wheelchair Option,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Spaces,Cost,Number,Owner,Status,Status Reason
f7ef1f0c-4b83-ea11-a811-000d3af43595,GRT0ZfynuJujnUODnOrxdmw+aR3HzREOHddYa9Sbzv297T74kAngB/95IqExRgwlu7yw0DpKeQwKiyOYDRJv4w==,4/27/2020 21:12,1,11090,1,Albus Dumbledore,Active,Active
c1678f12-4b83-ea11-a811-000d3af43595,V9nOwwqUhWIF7+ODNmwJ2uP9aspLkRbxpBOIWS54+JLo1uvaYH2DD6UxU3y/dnR+Rr0psiJ/WdJDRDlKXLEw7A==,4/27/2020 21:12,2,11990,2,Albus Dumbledore,Active,Active
e8c0fe1e-4b83-ea11-a811-000d3af43595,2X8nSMkgBymsdwljiQB8qDPuO7YxRxXURHshsEEX4uEWlMe8iT87opl0KWVFKv0P7xaI8z4ebLuu9FaZTvGDbg==,4/27/2020 21:12,3,12890,3,Albus Dumbledore,Active,Active
66f53037-4b83-ea11-a811-000d3af43595,4/BmfVO2kVunEODGBBCzDkDChtwFzVaRns9tXckLZOibtIpIgCNcP3cdcRazhm5pJTOXJ0tARjxRSYrmDDVC/Q==,4/27/2020 21:12,4,13790,4,Albus Dumbledore,Active,Active
e59a5a3e-4b83-ea11-a811-000d3af43595,Gjb/cN6lSxzFnjfq3YDZ77o+x07UbBTI+ksU1Sw46X+giCmVdkV4RaxDbtHfYndmrLvyALQOxweBx+IwjFmuig==,4/27/2020 21:12,5,14690,5,Albus Dumbledore,Active,Active
5fb46752-4b83-ea11-a811-000d3af43595,2VnNJBroj7on+2ES/fdDZ4qthktDQOBvXYa1B/+sqwITvm/d3bh25IV9JWYNXmM9IYmQf1cHJep+a4TN8GagFw==,4/27/2020 21:12,6,15590,6,Albus Dumbledore,Active,Active
60b46752-4b83-ea11-a811-000d3af43595,ONUAGdmGY2XlLJ7ZoSpuqo+S54mh+E1BtQdgZj7YNy+u7l708L76EBFj/ewjTLiCYWKC9PGH1GidE3pL7urlaQ==,4/27/2020 21:12,7,16490,7,Albus Dumbledore,Active,Active
9f36c361-4b83-ea11-a811-000d3af43595,Kxx8FvknhI/LwfYGNE5thUDewmSURqNk9zmerbmTphT5C+Uv9xfgmPpvKzh1UMaWtI7NPP5YAt2MI4x8wZWnPw==,4/27/2020 21:12,8,17390,8,Albus Dumbledore,Active,Active
2f20ee69-4b83-ea11-a811-000d3af43595,Xyx9fNGXWI9KrpwqhivDEN6h8iKo1wZDYgdvKiFPWgLsLjW4JFrdDEYj5gesJoAKwXb0zGCtdL3igzLohrkQ6w==,4/27/2020 21:12,9,18290,9,Albus Dumbledore,Active,Active
1aa44677-4b83-ea11-a811-000d3af43595,TfLExl4BFj0WbLKp4Upv+LKBGbaablAkThVIMoyq8J1PjEv22/Atw5+mQd3ygAJM6mz/uGGSRv+4J6NDyYIltg==,4/27/2020 21:12,10,19190,10,Albus Dumbledore,Active,Active
3dcf8c5d-cb84-ea11-a811-000d3af43595,7iae0LC/lpKdOzxLV3hzQYOGMSrLVUZy7mB92cVfYEBT+Ou4cdAThV1k3O+yjZRILx8nYEod1DBCE5fv/trt0g==,4/27/2020 21:12,11,20090,11,Jenny Stone,Active,Active
681cc621-da88-ea11-a811-000d3af43595,2XnPBJHEFImN9AA1dEkwcSj1j7zANfAWxS2EKgq9FjGR27mXGLvQswn4uXPLPwH++tFmXAx3Wr/UXpUyQVgj3A==,4/27/2020 22:55,12,20990,12,Albus Dumbledore,Active,Active
