(Do Not Modify) Project Management Fees Allowance,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Upper Limit Capital Project Funding,Project Management Fees,Name,Owner,Status,Status Reason
f091619d-69cc-ea11-a812-000d3af43595,baz9tWkoY6KLGZpmd2Ei6v55IhXZ6oWSzxWjahephuLwxE/+keDBVujtAl6jAfuQkDOYBxKrV6egp3Bp6IQCgg==,2020-07-22 22:22,9999999,93000,,Albus Dumbledore,Active,Active
e544e1a9-69cc-ea11-a812-000d3af43595,EHQrhkoCrEyXMLn/0BOHeZSqZJxMy9wA4+C3fnT+2+dBJ8w3PLs7jv8BDXOwVdizmKdI5c6DuUlCU9MBAAKL7w==,2020-07-22 22:22,29999999,203500,,Albus Dumbledore,Active,Active
9084d9af-69cc-ea11-a812-000d3af43595,pUlN8cLRl09ggaNpcFabdO3+bBQZnwmQMWwZkH1Q136g/k5LULi/IIN4vv/yGFt6qo1FJzg+A0rDGVbg5Y7l9g==,2020-07-22 22:23,49999999,293500,,Albus Dumbledore,Active,Active
9bb1bef3-69cc-ea11-a812-000d3af43595,O34oMsy73nXICt4ZaVlWT1/d9610zp0GQVahVknEfaGi1KQGW3OE5rq0YVvreo4xJp1/NfGFV+eiiAHcJo++LA==,2020-07-22 22:23,69999999,363500,,Albus Dumbledore,Active,Active
c0f92de7-69cc-ea11-a812-000d3af43595,ROykn4Vc3DHMz87OyWHhYHcgja6npQP++6GhwaZj+5UrWn/Hc9DehkKa0d+L/A7mCBkknM9Ztj9t+Cun4oveag==,2020-07-22 22:23,89999999,413500,,Albus Dumbledore,Active,Active
7b5fd705-6acc-ea11-a812-000d3af43595,8Fee/r6IYmFt2fnEi6RMwup2IXd/JhWBRcCH2c59Wct4q3SfwuEPuhMUyTLr9ziv1HOy6TNAW6KDaIuyuNYx6Q==,2020-07-22 22:23,110000000,443500,,Albus Dumbledore,Active,Active
