(Do Not Modify) Year,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Start Year,Start Date,End Date,Type,Status Reason,Created On,Owner,Status
d6d4dd4e-3aab-ea11-a813-000d3af42496,fnCpaKT4VFnW+kn9BYFqBxP9VS8nTOnD9ZQdV9787jmNfhFa7C7LOgtauCKbQnQg1oWQiFWRDwnSM+CleB0X8w==,2020-06-17 16:40,2017/2018,2017,2017-04-01,2018-03-31,Fiscal,Historical,2020-06-10 9:49,Albus Dumbledore,Active
77ea5957-6691-ea11-a811-000d3af43595,MUQm3epB9JstCb2hXelEho8JEhJhtKGSOpwUAytJkysp1yC32az5JLYLSIH4o8VqAD9onoNUKCtLjf0HZkSckA==,2020-06-17 16:41,2018/2019,2018,2018-04-01,2019-03-31,Fiscal,Historical,2020-05-08 12:59,Albus Dumbledore,Active
645de314-06e4-ea11-a813-000d3af42496,aTgLh05KtOuT6zOsOkFWsZEpMLdQm0928FdBThSJFE+5W6X4tKI5FmsLnPyYe3nE7/jtlC0YA4GtFcaRUeqELQ==,2020-08-21 23:29,2019,2019,2019-01-01,2019-12-31,Calendar ,Historical,2020-08-21 16:29,Albus Dumbledore,Active
97e834fa-7f91-ea11-a811-000d3af43595,wjHolDziDGe0d+oCwuh6JVoK5yg8A3u2GXzcI1jVFsoJFcbIvj50kXdB3cyAy0Znt34CkIXvlR0qqBWGFz1wHA==,2020-06-17 16:41,2019/2020,2019,2019-04-01,2020-03-31,Fiscal,Historical,2020-05-08 16:02,Albus Dumbledore,Active
dc98822f-06e4-ea11-a813-000d3af42496,ChN6tPPZUy+q4f7FwvNBrHPS/o9UkAw4S0D+jcw8X71ZhqivO0kZg+liBx4I2aNHHo5VNZu/pcPB3a2J9th4/Q==,2020-08-21 23:29,2020,2020,2020-01-01,2020-12-31,Calendar ,Current,2020-08-21 16:29,Albus Dumbledore,Active
9d573206-8091-ea11-a811-000d3af43595,EhF6XObJXooyNqesdqLOn/VRZ0+25n3+R6/tyVbqhwdClE+1QtskDui4zru49OVxzUpasXleo5eLm1No7s8RDA==,2020-06-17 16:42,2020/2021,2020,2020-04-01,2021-03-31,Fiscal,Current,2020-05-08 16:02,Albus Dumbledore,Active
27741c3c-06e4-ea11-a813-000d3af42496,4/kGEP498JNDtl+z9b9aoE/pcCaJI7UjrtJ/TPFeqDN9n1aiinFmc7oizMvWl2YvenFCjpU8bFLyrL23oJAOLw==,2020-08-21 23:30,2021,2021,2021-01-01,2021-12-31,Calendar ,Future,2020-08-21 16:30,Albus Dumbledore,Active
5ef37f12-8091-ea11-a811-000d3af43595,zpi1MSXFhAqUedm9n7vSMP41mQyI/6PvS2BnlwIxF+C3laAPw8mXDUPj4X/KAS0UyqcR38JJLzJg7bnhBUv09A==,2020-06-17 16:42,2021/2022,2021,2021-04-01,2022-03-31,Fiscal,Future,2020-05-08 16:03,Albus Dumbledore,Active
243a154f-06e4-ea11-a813-000d3af42496,kZQqvmJ/ofmm4kJXRrrzB+Pzixo1+AbE2ksrdoCsZg2VI96aBzfm4zafr5c41/vK1S85klGmBEuIOnC5O83XEg==,2020-08-21 23:30,2022,2022,2022-01-01,2022-12-31,Calendar ,Future,2020-08-21 16:30,Albus Dumbledore,Active
4e175d19-8091-ea11-a811-000d3af43595,63NCEQFSaRzFCHPyJJXBY9kENaKHSbbiEnwPlh+7pnMKsgj2dVDc8YRh9Hv37GEkdMwS2aNOBetOu7Y4YnCtHg==,2020-06-17 16:43,2022/2023,2022,2022-04-01,2023-03-31,Fiscal,Future,2020-05-08 16:03,Albus Dumbledore,Active
0a829b61-06e4-ea11-a813-000d3af42496,5Z/aUp3EajUT7mg3dQRYcvlYLXpGYHbgGdv9CcHfaX760gtUCt8hH1YNUIWE9Kt2kC3gKd2t3122s+4wUUdyfw==,2020-08-21 23:31,2023,2023,2023-01-01,2023-12-31,Calendar ,Future,2020-08-21 16:31,Albus Dumbledore,Active
302c8c1f-8091-ea11-a811-000d3af43595,qUi+WpJLFPsXJx3HFFoXR72fwejs7JfLrgPRHCzUEOpEWa1PUxuiIpVPr7Bwr5WZuC/Eni42dLw9Bxch7hwKMw==,2020-06-17 16:43,2023/2024,2023,2023-04-01,2024-03-31,Fiscal,Future,2020-05-08 16:03,Albus Dumbledore,Active
a2cc176f-06e4-ea11-a813-000d3af42496,E8Jp35YLbtbXo2EOfP0eeLr1Xi3y0vQEuSwHhNrEk8rxQaLQykm7gweEEJjYOao72/CBG5B0LPSRoAbMq/dqfA==,2020-08-21 23:31,2024,2024,2024-01-01,2024-12-31,Calendar ,Future,2020-08-21 16:31,Albus Dumbledore,Active
4c1fbaab-8091-ea11-a811-000d3af43595,brTsfQR9bKw1l8CWqszO9vQHjgTHXeqIYfoPx7qpulMIAgmzzkUqhCO/itoCCW0AZJpyco6SlJdYQ+1fizVu5g==,2020-06-17 16:43,2024/2025,2024,2024-04-01,2025-03-31,Fiscal,Future,2020-05-08 16:07,Albus Dumbledore,Active
1601198e-06e4-ea11-a813-000d3af42496,jUl89oR85/mtJlFuulNFU8Bn9TFP8lie/F92+wn/Akm1HSpKgQ2sk16SLoakKgrbTHinNpfm5MUwA0r8il0MNg==,2020-08-21 23:32,2025,2025,2025-01-01,2025-12-31,Calendar ,Future,2020-08-21 16:32,Albus Dumbledore,Active
d05eb2b1-8091-ea11-a811-000d3af43595,6wycs0UDjYwk+VCPymW9tZB/FBxpEMjWu0fyyeUZPXMw+Oa/J2UzWAT4G8j3gikZoH5Z6vr2f/6ylCnAelzfGg==,2020-06-17 16:44,2025/2026,2025,2025-04-01,2026-03-31,Fiscal,Future,2020-05-08 16:07,Albus Dumbledore,Active
b80aeea1-06e4-ea11-a813-000d3af42496,/Hq8oXG2ItM35WXTs0jtjODJ44Ekc4xg1kNii+Nd/cYFuCtmXdnXUDPnwcG0e6qCerN9vbCvldf3qLSkzC6P4A==,2020-08-21 23:33,2026,2026,2026-01-01,2026-12-31,Calendar ,Future,2020-08-21 16:33,Albus Dumbledore,Active
