(Do Not Modify) Year,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Start Year,Start Date,End Date,Type,Status Reason,Created On,Owner,Status
47f0d4bd-8091-ea11-a811-000d3af43595,reNxrheOj83xFTo2aNt45oH2ifMMispXQI97TUwZEDqB/GtxbK2uBwuXey0d67JTknJP2PhMzcLmfnUaibE6Lg==,2020-06-17 16:44,2026/2027,2026,2026-04-01,2027-03-31,Fiscal,Future,2020-05-08 16:07,Albus Dumbledore,Active
70de2cb4-06e4-ea11-a813-000d3af42496,gF+bHs4o7j7C8Kqkvh8w0jn59weU53cOyg0NSysd89nik0OcLpbJees14szIFbFRBNAxa7lIekedIv6Q4ZdmCQ==,2020-08-21 23:33,2027,2027,2027-01-01,2027-12-31,Calendar ,Future,2020-08-21 16:33,Albus Dumbledore,Active
4c1493c4-8091-ea11-a811-000d3af43595,QeYq7Vm0achWLA0ZSRwXygzfUfqOEWLwIQnsFxMGsI+IMCYaxDWiQppEiVR6l1wNRQGFHoN0NN6KD7/3Kpsrvg==,2020-06-17 16:44,2027/2028,2027,2027-04-01,2028-03-31,Fiscal,Future,2020-05-08 16:08,Albus Dumbledore,Active
dedaf8d3-06e4-ea11-a813-000d3af42496,SGnCz6nvia5UQQVTYG+8CoqLPfRimtVLUgfP9VQ28D70xfBsZ+OY/2jDOTdNDWUo2Ef4JE9shDdPMWr82l9B5g==,2020-08-21 23:34,2028,2028,2028-01-01,2028-12-31,Calendar ,Future,2020-08-21 16:34,Albus Dumbledore,Active
46539cb5-d993-ea11-a812-000d3af43595,a2QQgZp7quTIu+Ev4KQ/lahtZ4TJOdFod/6QGv+wIkksRWpCF9mM8HuBikl0VQZ80SjwMDne/sE8djJAErhc2g==,2020-06-17 16:44,2028/2029,2028,2028-04-01,2029-03-31,Fiscal,Future,2020-05-11 15:49,Albus Dumbledore,Active
16fdb1e8-06e4-ea11-a813-000d3af42496,vtRH02O3F/q9EZ/bZ41ILCNYsGjs/igy95DGIzV7ukBGhyKXYImG2PzzkNsGHvMSXsDARaQPeqRsbeZydIriPg==,2020-08-21 23:34,2029,2029,2029-01-01,2029-12-31,Calendar ,Future,2020-08-21 16:34,Albus Dumbledore,Active
b4a53fc2-d993-ea11-a812-000d3af43595,jLh+Pgi7JKaTlmrcP7D8zhJXDqYO0uPRUiweSUPEtG3bwLqLdQ9DZ3slpDzlMGtqGhugbMoef6oDSEC2V/iw+g==,2020-06-17 16:45,2029/2030,2029,2029-04-01,2030-03-31,Fiscal,Future,2020-05-11 15:50,Albus Dumbledore,Active
737797fb-06e4-ea11-a813-000d3af42496,2ZFXofE3r0xIKFFQju9Z5Ev8uAcNsA+BtqPTdfAX4wIBd86w+ArH+A7XDYXvxm7g1C+JSgc4cdUXFAYZUge7ig==,2020-08-21 23:35,2030,2030,2030-01-01,2030-12-31,Calendar ,Future,2020-08-21 16:35,Albus Dumbledore,Active
b4fcb2d1-d993-ea11-a812-000d3af43595,S5pRlYSr9iWuOX1ER4uC8PAuII/SDjfdA+29YN2/iyszXFHWXFLGSnp/nj8InpEYx9nXsPgnVnBOi5UIoxcRoQ==,2020-06-17 16:45,2030/2031,2030,2030-04-01,2031-03-31,Fiscal,Future,2020-05-11 15:50,Albus Dumbledore,Active
5d1ac30d-07e4-ea11-a813-000d3af42496,duBekOqf/9SQCGCSYJl9T2bzpODcEJ0AKVQAo+Fz5htqtVX7wCKbI3QoLYbcP2GSNgwbQd2HIEMGSZWXBC+K2w==,2020-08-21 23:35,2031,2031,2031-01-01,2031-12-31,Calendar ,Future,2020-08-21 16:35,Albus Dumbledore,Active
60bab30a-4b95-ea11-a812-000d3af42496,KaMNYwLnO20rRHHKUBBKrgzXg8cQ4KWvuLG4XMoMKbeFJQvN/f4qyKOZq1A0JqG5BV+Xr2VOypyVhxOHWmHZhA==,2020-06-17 16:45,2031/2032,2031,2031-04-01,2032-03-31,Fiscal,Future,2020-05-13 11:53,Albus Dumbledore,Active
c232e53f-07e4-ea11-a813-000d3af42496,JC2HWlCILhwbijnrdIrQUiqTLVkpJKjOv6WvpBdAwKl7OPsZDwEcQzP0gfZS4sPtSiqxbu03WAwakY65ZcfQWw==,2020-08-21 23:37,2032,2032,2032-01-01,2032-12-31,Calendar ,Future,2020-08-21 16:37,Albus Dumbledore,Active
a9ca4211-4b95-ea11-a812-000d3af42496,lBhf8aTszBlhop4bbpC6UYbMKEIrMC7exFZwyMfcC5sQqePqV/Tac/U30DqhNhKhcyW0PTt0haY2njZZJyddVA==,2020-06-17 16:46,2032/2033,2032,2032-04-01,2033-03-31,Fiscal,Future,2020-05-13 11:53,Albus Dumbledore,Active
