(Do Not Modify) Project Size Factor,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,School Type,Upper Limit Space Allocation ,Factor,Name,Owner,Status,Status Reason
4b846546-71c8-ea11-a812-000d3af43595,XE7h+a8qUnRQaPcJWCroguYGlriSn7fiOIzu/kfBm0p7DnIYGUY/Vd1AyxZsjJUPIe//ab/ThPbjAC8ut3/XtQ==,2020-07-17 21:05,Junior Middle,1999,1.05,,Albus Dumbledore,Active,Active
b5a3e727-71c8-ea11-a812-000d3af43595,SCwsMruVbO6CidKftSlVmmOsl/CHpvQmrDkFzIewgqEszoL7cLy4cSFVxq9UiP6IoOBoVbATDeQ/6oPYn5TqmQ==,2020-07-17 21:04,Junior Middle,2999,1.05,,Albus Dumbledore,Active,Active
31302c2e-71c8-ea11-a812-000d3af43595,cRxNlc/DD5NOGMipkAUUKadUH0Bjii/UwENjCM/woLTTvrokDKL9U+ltsrpwJ/L4Rrwq5yrnpl1loJJZzUjZKA==,2020-07-17 21:05,Junior Middle,3999,1.04,,Albus Dumbledore,Active,Active
86b2ba89-7ec8-ea11-a812-000d3af43595,dzHjM+U38SjvF84YVINhEta6j68/93mCK/ub3VZ7id1hmIa91gB05s1FZGPkAsNSLVgEqV1HeJuBdsaCsTZkLw==,2020-07-17 22:40,Junior Middle,4999,1.03,,Albus Dumbledore,Active,Active
71a1c095-7ec8-ea11-a812-000d3af43595,a2m/jQEkAJnKG3tGQVVSc+zLcHHKmgrJlobcgOy+TNwRwoI0QQvz1imeu4pzalWmdnaiP4QD53CpOB6PVsU+jw==,2020-07-17 22:41,Junior Middle,5999,1.02,,Albus Dumbledore,Active,Active
2af5cb9b-7ec8-ea11-a812-000d3af43595,SK7496tgUWQ8jVa16GGz3zT6q24RKHkOGSE5tt3peAoBrEqawu+KT8lO4Nb3clZuGqZ3hhWtKVgaeDj302xfnA==,2020-07-17 22:41,Junior Middle,6999,1.00,,Albus Dumbledore,Active,Active
69958ba3-7ec8-ea11-a812-000d3af43595,pA5H3kjISONxQsPgi7saRkP0lfow3Vu/WiRPbayoFqKrSBIDj8fllNObJTY0aEtVDPxNwC49SXCJrdQzSo5NjQ==,2020-07-17 22:41,Junior Middle,7999,0.99,,Albus Dumbledore,Active,Active
609b88a9-7ec8-ea11-a812-000d3af43595,O30NUSlIa5e5rEjBqZsFooh+V9SMdwwKNPRA+/bCN05QC+UNfbI9YVpoGQ8/KBgI4zZKQLFaptr/MbiXzKWZ6w==,2020-07-17 22:41,Junior Middle,8999,0.98,,Albus Dumbledore,Active,Active
fcabc3af-7ec8-ea11-a812-000d3af43595,4G4+bePCNfCHY8VXaoqZXhUGEqY2d/bE5lt/cgyp8Z6Ry3C3dQtbuO5KWX8q4pf0+L0WwZqr8XxZf6+6FwlfAQ==,2020-07-17 22:41,Junior Middle,9999,0.98,,Albus Dumbledore,Active,Active
6bc4c0b5-7ec8-ea11-a812-000d3af43595,taWAOGz0W8JKfcr1qtx1KTmt/ezbOJAU/EyO1V5wyJ3iSMqJEAQTckQjeRk/MY1XDl2u/osTUgrbl0/5ka+3CQ==,2020-07-17 22:42,Junior Middle,11999,0.98,,Albus Dumbledore,Active,Active
0669bbbb-7ec8-ea11-a812-000d3af43595,ps9LorVo9U+ZYzDMIMi1YLMiUsLACvCxGkLVOZvdDNxhmuEq4J9kTgpWhtbcR+yx31Oi+MPxr65/2EO/YQ0wCw==,2020-07-17 22:42,Junior Middle,20000,0.98,,Albus Dumbledore,Active,Active
497cd21f-80c8-ea11-a812-000d3af43595,gnaMg1FYIwgrBqA/ayRE2BEhbik0uPXNw6n2nOb1Ca9NnPaz+WcKrBMKFD6ImaCBIsFrZ6Vv52pes1+Xr/dHyw==,2020-07-17 22:52,Secondary,499,1.09,,Albus Dumbledore,Active,Active
dd09432c-80c8-ea11-a812-000d3af43595,BBf+SxkfalJEX+Ih3hl+jFuBcOu11Hmrx1kkpDnLtwzsVIEgpv5+GLwDHN433adaw4Yx909r3MNTynU4+4f8KQ==,2020-07-17 22:52,Secondary,1999,1.09,,Albus Dumbledore,Active,Active
05f1e632-80c8-ea11-a812-000d3af43595,ZP41lFt0t5SdFl8q3wHMN9jVafSBS6EOtcknF6V0YcsuEk+l+7d1uUB2NvCqxE2G01l1O8hvycuKncVz3cEN0Q==,2020-07-17 22:52,Secondary,2999,1.09,,Albus Dumbledore,Active,Active
aea41339-80c8-ea11-a812-000d3af43595,w4oeC//hEYc4EWJEyV3K8jndaaBIziFm/H88qItxOQV9Z8145MR5UDx4uf5+9yGYJif4zN3xd/93msT4gWH95w==,2020-07-17 22:52,Secondary,2999,1.08,,Albus Dumbledore,Active,Active
eea41339-80c8-ea11-a812-000d3af43595,4JPib4s0BWTe5zB6UDj1+a9R0j3SXIn4ZPuTKTvDl4Do9QUNohVsE7V9vVmbaXY00pZwTdig+b/jGmZ76ZTghg==,2020-07-17 22:52,Secondary,3999,1.07,,Albus Dumbledore,Active,Active
a7c53845-80c8-ea11-a812-000d3af43595,3PKPdQYk/Zc5Br64FQLV1D56uQ6cXFGAfuw69yMYlb9k59tYdu+2Bg2o6UbyLYFKzZzF50SC39s+t2qy04UT1w==,2020-07-17 22:53,Secondary,5999,1.05,,Albus Dumbledore,Active,Active
dcc53845-80c8-ea11-a812-000d3af43595,de+E+6CxEYprvfguOnL579w9B2b8Mumq2Fb45QqADO0bTAR9RQTB+SaihHSAK0/pXVCR/T8cQB0v+Qqmok9fXQ==,2020-07-17 22:53,Secondary,5999,1.04,,Albus Dumbledore,Active,Active
0be0484b-80c8-ea11-a812-000d3af43595,h4OR8kiFNFc+WdU2AcFaIIv6YSEV1kPD+H3Ojfz32jHlRm2boWSGLFDgSXhO26jmgdyJ3wWztbG7w7DVVFOv4w==,2020-07-17 22:53,Secondary,6999,1.04,,Albus Dumbledore,Active,Active
1fa36951-80c8-ea11-a812-000d3af43595,n7bVTrHj8DKew/qQTGncEEHWAmrwS89gx6FxzrjV7ixEZ8cWeLjnUcOk7rlsn/RBrq7+GkRqejuBIEjBCShK1A==,2020-07-17 22:53,Secondary,7999,1.02,,Albus Dumbledore,Active,Active
5c096957-80c8-ea11-a812-000d3af43595,bkoRQQKNLGy5NlaM6VJKFQe0e+44vQY+cpGl0ZAeDZhRiAKgGOYrZ1rHTmy3EjPEEuhBB0L0bwA5sLEIcOTJUg==,2020-07-17 22:53,Secondary,8999,1.02,,Albus Dumbledore,Active,Active
c0a8635d-80c8-ea11-a812-000d3af43595,4ySqQpJkhOnaeH5d03Pl/hOGCBQT8mcBboe01T8lS1FPZ+Qea/+ZAopn37tvRH3NSXhwfM84SziFbpQKxJiQNA==,2020-07-17 22:53,Secondary,9999,1.01,,Albus Dumbledore,Active,Active
b4e85b63-80c8-ea11-a812-000d3af43595,Rmq4K9S52k9khwcT1JzBzEakiDoWZQJkakpYolVVNtPSJfUQLxMAc49eA6LUZaUViMKgn9BDr5B/V/NCCG11rg==,2020-07-17 22:53,Secondary,11999,1.00,,Albus Dumbledore,Active,Active
2eea5869-80c8-ea11-a812-000d3af43595,oCZC+pP3SS0p/t1PGVZQA9V1sPi5A2dGCSTcPmqh1rgu6mVdotfjS49vehJMQyxD18zXslP5yMp2p9qmOi5ndw==,2020-07-17 22:54,Secondary,20000,0.98,,Albus Dumbledore,Active,Active
bbbbda00-7fc8-ea11-a812-000d3af43595,JEsgBHYB88IJ0uk68kE3pTbo7GQColPMLGYOHucGP2RUQO3zHkvTbrTxHFDz5kyiMmg4VDgpbnGDlKOzZNNuXQ==,2020-07-17 22:44,Senior Middle,499,1.05,,Albus Dumbledore,Active,Active
d5bbda00-7fc8-ea11-a812-000d3af43595,/uFgnHaPq36f0AEyr+snsBB6aHfdnuFlwBuaov9TyC3AxMgTAxOcHg1esoZYAhEbUdhBFD8c9ZzVKgRkxZ25ug==,2020-07-17 22:44,Senior Middle,999,1.05,,Albus Dumbledore,Active,Active
82420007-7fc8-ea11-a812-000d3af43595,S6mg+KmNhXqs3tEO2LvVRc4zc2AHecblIm2DMLumasILiwjDmlHshFhtZtkN0ie36GXUrIEs93O2U5VQvu6tlg==,2020-07-17 22:44,Senior Middle,1999,1.05,,Albus Dumbledore,Active,Active
cb461c0d-7fc8-ea11-a812-000d3af43595,QAv7G5/n2GeIVKyz/X6EBzlEJfyQ9Y9YNGy1sqMzBBYbl9VATNSQUzfeUBqQydcqFKQt2OWotnQk6/3FXcSxug==,2020-07-17 22:44,Senior Middle,2999,1.05,,Albus Dumbledore,Active,Active
10e55413-7fc8-ea11-a812-000d3af43595,QT+vKxIl8nWIrw1Ixj3qvQ0ZU9jrnmGmZzwQgWx/t6IN6AD9gjk9IVd4wNr6E8T52rJcnhc6WMbARLEQWCeG/Q==,2020-07-17 22:44,Senior Middle,3999,1.04,,Albus Dumbledore,Active,Active
92848d19-7fc8-ea11-a812-000d3af43595,LdTCsobiN7sbrJorI9Y2YwhfVrWeGCh0Z5jwg9uDGh/gbRdwcIMtiZS4SBWuqPfDputewky+1hxne8hl5C00Mg==,2020-07-17 22:44,Senior Middle,4999,1.03,,Albus Dumbledore,Active,Active
2f28881f-7fc8-ea11-a812-000d3af43595,XK+vTWNtj5xjQvT1rip4eLxtH2kdrUvplSuHTyUgFqikIiRo5NidGAB1PCvtJ/i3NPE0GTGPmLRFz4UIXuXUkA==,2020-07-17 22:44,Senior Middle,5999,1.02,,Albus Dumbledore,Active,Active
e5e94326-7fc8-ea11-a812-000d3af43595,BwT7/XadtZ6WH6uktuEfHlLKuXAjz/l9uzO6J9N0VlUiClGOFkwW2tJZLtkMj2zf+sNVviQCKfmdFPQcNhytfQ==,2020-07-17 22:45,Senior Middle,6999,1.00,,Albus Dumbledore,Active,Active
4c9bae2c-7fc8-ea11-a812-000d3af43595,Z+ZUFQIn36ltp+9GmE1obRtqZClJ9m14MU8Q4rwb3t4WrQvuhJGUlkBZxbDBqw4yv5Mh+IYph8UPW/1LPE2W+g==,2020-07-17 22:45,Senior Middle,7999,0.99,,Albus Dumbledore,Active,Active
589bae2c-7fc8-ea11-a812-000d3af43595,xkgkf3hcACsAiRvtfgwcbo/GrmfXv7IJUp/fRt4DqltlVKFvlM3tbtIosO+sF0ujFMu6TyG3Zm5x1Qh+N58gVw==,2020-07-17 22:45,Senior Middle,8999,0.98,,Albus Dumbledore,Active,Active
e7ada93f-7fc8-ea11-a812-000d3af43595,4/IEj0a7ANZrhRusLjXXQK13+sdIibfSiukPEbDwReyvPVxjaD+CqOcEA7zc/i2dcovJeomCqsTVaI0JgpwuJw==,2020-07-17 22:45,Senior Middle,9999,0.98,,Albus Dumbledore,Active,Active
6738cf45-7fc8-ea11-a812-000d3af43595,Fj7e1gojayFbikaCELO01q144i2nYQbfr8/nbLc8DSFq/kDzF8vL0WaohKRCrujSzgCeBFmGdsoYxuvV0thrYA==,2020-07-17 22:45,Senior Middle,11999,0.98,,Albus Dumbledore,Active,Active
35effb4b-7fc8-ea11-a812-000d3af43595,HG6ftamlNOQrhAlutka4w3m88pYrGDWP8AeyVRYOEtJBloX3U9EKDHKoiohepXwaYRstX8bucArflRxbL17VaA==,2020-07-17 22:46,Senior Middle,20000,0.98,,Albus Dumbledore,Active,Active
