(Do Not Modify) Project Size Factor,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,School Type,Upper Limit Space Allocation ,Factor,Name,Owner,Status,Status Reason
f9efacb0-6fc8-ea11-a812-000d3af43595,Ls+vNWq+8UNpVL6GpPeGbXQPYx700/1smUtI1n1Jq2yG8rUUfrI3ctU6OlDoshzggwiQGpIDLMPjOQ1oCfOGPA==,2020-07-17 20:54,Elementary,499,1.05,,Albus Dumbledore,Active,Active
a62ea5b6-6fc8-ea11-a812-000d3af43595,Ih05Tc+mXYUF8S9Wuan63jOzp4m/f+q6yMXRjxlqfCaWyezuNiG5DRNm5d0d7Z6N/j7reY+zs7fMihtE7dVjTw==,2020-07-17 20:54,Elementary,999,1.04,,Albus Dumbledore,Active,Active
3337d7ce-6fc8-ea11-a812-000d3af43595,Ylurxrj4MBRjrGHjxm/L+KDnVbHvzFsj/tOffZu1HlTr8w7rIfsjC374ItJtTlIi42zgo1hjlrLNsgwtHrCU9Q==,2020-07-17 20:55,Elementary,1999,1.02,,Albus Dumbledore,Active,Active
615f19d5-6fc8-ea11-a812-000d3af43595,GX0RDg6DIgb39IbiBzrzvM8dvXYa58+C73IOEpvbxgY6/y0mwo32ButWbgkww/TGOwZ2D2otu7E/KxrdSV6/9Q==,2020-07-17 20:55,Elementary,2999,1.00,,Albus Dumbledore,Active,Active
e34c22db-6fc8-ea11-a812-000d3af43595,+yx6GY5in4LVDchJVo5ZjYefJOvhvrvVEN7sYL+XtRkT/kclxp19eZE2D/E37IzSrVzG0Q/8smm1wGn4BlAULw==,2020-07-17 20:55,Elementary,3999,0.99,,Albus Dumbledore,Active,Active
2f7826e1-6fc8-ea11-a812-000d3af43595,y857n+Y7fDDLizkFO2crx/PpK78kSWcOzSIkfPUAkGcFZyY5CEn6Rz5R4MhweGf0zZm5vanfUpAOt9P069Cbew==,2020-07-17 20:55,Elementary,4999,0.98,,Albus Dumbledore,Active,Active
03bc1ee7-6fc8-ea11-a812-000d3af43595,KJPgMtiOWjXT6iOsGGOshz8Rnh6XWKfgwL2oNR2WTwaMiBDCVcEcrCgWRnCHqLkEVFjIg9qYLkEbuixj9lTdsw==,2020-07-17 20:56,Elementary,5999,0.98,,Albus Dumbledore,Active,Active
9b9309f4-6fc8-ea11-a812-000d3af43595,9RkqSqXHrTKDmauV6+Q6fLC9PNrDAwcuUhWhzgwRkO67xskoHlGxOi6BCEeFvSHyXb/R53P1csdmsWMUMjUWYQ==,2020-07-17 20:56,Elementary,6999,0.98,,Albus Dumbledore,Active,Active
01d101fa-6fc8-ea11-a812-000d3af43595,2ZUCK2vVdsHf7klNIh3J9rJh+sTTvq+0D0aXaStAa7sZ6HEAp97XuxtVMEDrnTptBxkuK+7AaI6/1oB7P1E5rg==,2020-07-17 20:56,Elementary,7999,0.98,,Albus Dumbledore,Active,Active
1910faff-6fc8-ea11-a812-000d3af43595,rxorvZgwAih6jpO4b9vQwbaOs95GxnFHeITgDFQA7EErcDdf37ciVvQglWfkb9z/0Kvwgz7jCefUBYPqFESYXA==,2020-07-17 20:56,Elementary,8999,0.98,,Albus Dumbledore,Active,Active
538c0c06-70c8-ea11-a812-000d3af43595,IJzkdnN4ugMminuHudY6aXJ6ufCgEnnZ3UO7eocq5ezsdUmJM5NzqbtlJKAvrVX6I41emh4iN8oen8gxMT2ATg==,2020-07-17 20:56,Elementary,9999,0.98,,Albus Dumbledore,Active,Active
b00b1c12-70c8-ea11-a812-000d3af43595,CEgsEeFeu9/kULs10+/6LPOUHHOgnHfLeZYneYapy6OC52d1EgrqoDWNqKN2wDyJoOwDhUc1xxVW4AtfPGtjwA==,2020-07-17 20:57,Elementary,11999,0.98,,Albus Dumbledore,Active,Active
8843d178-70c8-ea11-a812-000d3af43595,Evp8XioX15+J02nNixw+aP1U5eigyFjnUebaspumGcJxF7njV845ss89CFgSoQMKjWZza1APK7YuxstlOR983g==,2020-07-17 21:00,Elementary,20000,0.98,,Albus Dumbledore,Active,Active
c347ed7e-70c8-ea11-a812-000d3af43595,SuDm/kSdN6W1jATTbJsiNZtvLaKaTNhs2rZHiRnYGJBSFa5UCznSTk46Sgr/m2VeYd3ecBYwIm+6Ke++ZhNvMQ==,2020-07-17 21:00,Junior Middle,499,1.05,,Albus Dumbledore,Active,Active
c3c2d51b-71c8-ea11-a812-000d3af43595,muMsSVlMX227p1kFOJJmuD5ehU8eFUj6o4/irYMcmam1FiIFgQbIiDnA/xrXb+TLHJYkHSFj6Rylo9Xqt1JKJQ==,2020-07-17 21:04,Junior Middle,999,1.05,,Albus Dumbledore,Active,Active
