(Do Not Modify) Fuel Type,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Type,Owner,Status,Status Reason,TCO2e
3b659790-9e73-ea11-a811-000d3af43595,Hn8iDZkuqMNYRHcsU7l8THNXfzUe2pL7289Z8UkspQOhXV1ZSvRXE+9rjfuClZrg4qh3KqioBN9lWExPi4zIRQ==,3/31/2020 22:25,Diesel,Albus Dumbledore,Active,Active,0.0706
4bfe4997-9e73-ea11-a811-000d3af43595,4dOn5cwo+8714NZnyHh8Tr04aAhBBzVEKIF4sgqZnRNCacxHH4uWvDvCYkMWh0DcBZAPPS+3CUzZoUondPN0kw==,3/31/2020 22:26,Gasoline,Albus Dumbledore,Active,Active,0.0652
88e2b29f-9e73-ea11-a811-000d3af43595,S2lI3hhjUnTz5MN9WM4AJWoley9myGz7Xau8NZaT2SX8JWoTv+0D/c4CDnoKm8Rj0Qr4bM700fwnyTSyEs1Qxw==,3/31/2020 22:26,Marine Diesel,Albus Dumbledore,Active,Active,0.0761
1794dead-9e73-ea11-a811-000d3af43595,2Lj4kq4qsj7Rieg02U19JiEEZc1yAldoTJE7GrRiWiZ5rnViTFt/YNXfnXA0PX1yk2pEqzhlK5KKed1PUP7iDg==,3/31/2020 22:26,Natural Gas,Albus Dumbledore,Active,Active,0.0499
af378eb7-9e73-ea11-a811-000d3af43595,cdG69MT/bq7xiBdK9M/jAqs3utfNcQMIiJUXilfqa3BKjnFDUZn1fd8U0ahc+jTjQ7WdxdSST0oFCcCsgID8Nw==,3/31/2020 22:26,Propane,Albus Dumbledore,Active,Active,0.0612
dde38dc5-9e73-ea11-a811-000d3af43595,ADVNYhtx2T7ATMpfdSIXarlwYFjx0dIkfN0u9E2i5dAr9iZpmveqDy7+JF6NJoLj4/vQOLv8jPjTWOCu35J2rA==,3/31/2020 22:27,Wood Fuel - Industrial,Albus Dumbledore,Active,Active,0.0022
acd4f5d0-9e73-ea11-a811-000d3af43595,bBvUsPGojPm/vaglt4Yy5fPqUSVkfwxN6UpzaEWmgIQCpEZcLdUSagX1gFelzxROlCLDUgE+dUfAjuJVpAf2Qg==,3/31/2020 22:27,Wood Fuel - Residential,Albus Dumbledore,Active,Active,0.0235
