(Do Not Modify) Region,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Type,Created On,Created By,Created By (Delegate),Modified By,Modified By (Delegate),Modified On,No. of School Districts,Owner,Record Created On,Status,Status Reason
3e16293a-2254-ea11-a811-000d3af4316a,no9HHnO16j3UcrNSoreKFIJ8NSchnsYgp+3IY3y5j/3BekT4KAbGfz6oiH3v+u9CrGsHJA2ObH2cefw5F3oNSw==,2020-02-20 20:48,Fraser Valley Region,BC School District,2020-02-20 12:48,Albus Dumbledore,,Albus Dumbledore,,2020-02-20 12:48,6,Albus Dumbledore,,Active,Active
4016293a-2254-ea11-a811-000d3af4316a,sY/LocsFDsbe9Nk6aoxF4Xs5hf7nOheK6hWHAnztHmKTRq3P1b19xCLpgxe0aZSWTCduCczWGgH/WQ81xFYtBQ==,2020-02-20 20:48,Kootenay-Boundary Region,BC School District,2020-02-20 12:48,Albus Dumbledore,,Albus Dumbledore,,2020-02-20 12:48,6,Albus Dumbledore,,Active,Active
4216293a-2254-ea11-a811-000d3af4316a,18yM/RsJdwVSJnaPwKqsh0sNi1/6eDz3Ra3DKsps/IBNvQkZ9aZRbYT/mp1KzbfSgSf2EQjAGd7uY4SteZXfwg==,2020-02-20 20:48,Metro Region,BC School District,2020-02-20 12:48,Albus Dumbledore,,Albus Dumbledore,,2020-02-20 12:48,12,Albus Dumbledore,,Active,Active
4616293a-2254-ea11-a811-000d3af4316a,fSJmAPcQkijVzmnA5BdVXUvPNCQjTrWEcDIMSE6Oc8aL9I0Elw2w7qayY05uz3JLakBBfHkBCfUdTEWk09+o7w==,2020-02-20 20:48,Northern Region,BC School District,2020-02-20 12:48,Albus Dumbledore,,Albus Dumbledore,,2020-02-20 12:48,14,Albus Dumbledore,,Active,Active
4816293a-2254-ea11-a811-000d3af4316a,K6JsPWT8TH346xDdnHyH9UDNC0TdGpGwLQKA2lyeE3GfEDoFcfwUj8KJbR3tPeMEFarxOAVlsPMMLz983wlHUA==,2020-02-20 20:48,Thompson-Okanagan Region,BC School District,2020-02-20 12:48,Albus Dumbledore,,Albus Dumbledore,,2020-02-20 12:48,9,Albus Dumbledore,,Active,Active
4416293a-2254-ea11-a811-000d3af4316a,zLp6hFQpUIn2rLuoPbnBx2XDtFG8uCDJzxx/n6nKkS+Kk6ZFHoAl5Nym4dkGl+w0gIBb42YJxehsaxp5pq6ugQ==,2020-02-20 20:48,Vancouver Island Region,BC School District,2020-02-20 12:48,Albus Dumbledore,,Albus Dumbledore,,2020-02-20 12:48,13,Albus Dumbledore,,Active,Active
