(Do Not Modify) Space Allocation,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,School Type,Design Capacity,Space Allocation,Name,Owner,Status,Status Reason
066eec8f-69d3-ea11-a813-000d3af42496,lubTXSnFW45ihrOQWrQ7u/GPHiJzDoBRMw3vevEwkaurZWDg5xz7q6MiZ4JYifjH9nmb26wWxm0deDAzMflEPQ==,2020-07-31 20:08,Elementary,50,525,,Albus Dumbledore,Active,Active
1813f195-69d3-ea11-a813-000d3af42496,N2ltlI+ZUHcl5THnGoLK9aPT+6LLCfOHGERg2UfgbxeDkOMqoTY1alIbSxfvSrfgFdUFDhRt0w/f8c5i3BZ1ag==,2020-07-31 20:08,Elementary,75,785,,Albus Dumbledore,Active,Active
54c8fe9b-69d3-ea11-a813-000d3af42496,pQfT9EmKwlI7K0ErlvogVyJKRa3ekfKwLIZxI8Pz4MNtQ811HzymtVe6pfJd7D71q7k5z56eRh6oqnpUO7ZIgw==,2020-07-31 20:08,Elementary,100,1050,,Albus Dumbledore,Active,Active
7a31fea1-69d3-ea11-a813-000d3af42496,DG+CzNZdm9B0s9DlTXq1O0G+OQ4J49n/JggHpGYeM43GnpcYzoE8fd7Nb3hkHt+Z6aIV3gK2koWFIkTkk2Fshw==,2020-07-31 20:08,Elementary,125,1390,,Albus Dumbledore,Active,Active
2fe72aa8-69d3-ea11-a813-000d3af42496,ehzs56iFTba/aq11qHG4JhZlwCtoRvzsSk/upeFmuHWZXwcrQpOxP13wG7aNCK5pfVTM3x28uQZqonoiHunFyA==,2020-07-31 20:08,Elementary,150,1515,,Albus Dumbledore,Active,Active
aaba57ae-69d3-ea11-a813-000d3af42496,Cq7jbb7/rYTaeuKVAFN4FpeEEqZyPqiEQ3UH2vY6tMf2h8rwo1Q/LhwgyfFDlIBIAGPTFY+suL/0HQz2IALmAw==,2020-07-31 20:09,Elementary,175,1785,,Albus Dumbledore,Active,Active
ed40a2e8-e9c7-ea11-a812-000d3af42496,c0eEptw8UpIVAAkLqcmyQuT/t4nx9jWi9aepZgK3PuXAKm9158WR/xyiyx/xFqsKGL7D4Mk6iGbyMZWCDMO5xQ==,2020-07-17 17:49,Elementary,200,1990,,Albus Dumbledore,Active,Active
bbf945f3-55c8-ea11-a812-000d3af43595,B5tSnXpBoFJUKEiTnYRvZV1gnd0P1TtOPrGkR3ikhAQjCXg3OT7FDB3d9gJryVPWbfYD+HKF3jTUPyikpNEr+w==,2020-07-17 17:50,Elementary,225,2095,,Albus Dumbledore,Active,Active
7f9340f9-55c8-ea11-a812-000d3af43595,zGoSDMNKI98IWZ7evx1jJIIrqv8cuPa7VKEMB8W5robariHUGZTZSz+xtXS0wrKCBJA/amFGgffCCW4VvIeyCQ==,2020-07-17 17:50,Elementary,300,2540,,Albus Dumbledore,Active,Active
36be6317-56c8-ea11-a812-000d3af43595,duILFOWwDywogp6rRP26/hUuGr2nJ5v8/Xhi47x8KMRG4euYWm4XmkkwxzDPj4sv117cDduQSXx2NruQAyZO5g==,2020-07-17 17:51,Elementary,325,2655,,Albus Dumbledore,Active,Active
ad607d1d-56c8-ea11-a812-000d3af43595,nnp3L+qC4RWB8EsrOKw5cuKa81AgceGfEk8jYSIaOvlLcXbZf5TAFjSiK6er9qGuWQkxotxtb+B3lVuhJvn3sg==,2020-07-17 17:51,Elementary,350,2780,,Albus Dumbledore,Active,Active
af5705d9-56c8-ea11-a812-000d3af43595,rZYVqfIPowrjCyvPqNqbnDyePfW/mv1be0BPGXYH6jq2K9u77lzotuEw2elHZA7+FFtVae7j8A8SNbPQzws3Tw==,2020-07-17 17:56,Elementary,375,2895,,Albus Dumbledore,Active,Active
00dd08c5-56c8-ea11-a812-000d3af43595,oTGJKzq80trep4YAjuFCqPps7Tg+NLSCMLtfuF6TYpLOlWvilG5Stb2NryJx2zjZ3msLMEyyfPFSZ+j1rPA/KA==,2020-07-17 17:56,Elementary,400,3005,,Albus Dumbledore,Active,Active
4ebce6f0-56c8-ea11-a812-000d3af43595,SRQRV09y2VdA+Uds/z5HuiIpOPq0/01wsYBOPTIYN14X+e3HT6DREk1ubQ/4NSOw3fc75gPJ0V2m6onvno+R5w==,2020-07-17 17:57,Elementary,425,3125,,Albus Dumbledore,Active,Active
4efcdef6-56c8-ea11-a812-000d3af43595,N3FPcfgO+DRwTFhG4L9XGrJFJtnC3t/yB3csrZNao9KJrbva/g1CUt2RAjFPGq59zrjiEZfTOvq8r1jEqwOEuw==,2020-07-17 17:57,Elementary,450,3230,,Albus Dumbledore,Active,Active
fb9ae5fc-56c8-ea11-a812-000d3af43595,P94GxMs2B862t4r4DPRqbX2oChU5PoB3nBzP1rY/8GD82rDViM2+TN1k/+XU6ClKKQ2avJZNQktPJ7tBQICPSw==,2020-07-17 17:57,Elementary,475,3355,,Albus Dumbledore,Active,Active
1c151703-57c8-ea11-a812-000d3af43595,ghB7Hi7lx2gRNHEzpWFDIq4S63itdZ9F9a2ehYdRwODTL9ldtesWMrdlyE3ZQm7AOAMEZVXSj0LrQ0eh0ZKB0g==,2020-07-17 17:57,Elementary,500,3470,,Albus Dumbledore,Active,Active
ca4caa09-57c8-ea11-a812-000d3af43595,fpkH8ylbJ5blZjODMIziCletVc5d9AIglEYPdrKcTPcMzC5vUTGDF2WKdt7y0CQjl+yfu0filUrL//6/KrQSmA==,2020-07-17 17:58,Elementary,525,3650,,Albus Dumbledore,Active,Active
448da20f-57c8-ea11-a812-000d3af43595,cLu/426lptgcp1e9fsEMOuopfu7CW3Nk6qzxwKIlwpZSHsM4WoL4MJhHjU0i6PbWvimzkNSLR35beCS4yTn9Uw==,2020-07-17 17:58,Elementary,550,3745,,Albus Dumbledore,Active,Active
b18c3a16-57c8-ea11-a812-000d3af43595,Pqz/TBhtdxaBJ8v5EJiPmgeVlKDgvIAWJ38jkeX3gzIPEp8VhxMT9n7kOyy5+DyTIYs9g1cYUKqYj9Ur12jupw==,2020-07-17 17:58,Elementary,575,3865,,Albus Dumbledore,Active,Active
488d3a16-57c8-ea11-a812-000d3af43595,ojmMMDNUtL6lFVoNGAhINSSNku9bi+aM1z9FMh8rM15xY15jPaVbn6l4q45uFA+8ANiFoReX3LCOQWVE4QBEeg==,2020-07-17 17:58,Elementary,600,3980,,Albus Dumbledore,Active,Active
3dce321c-57c8-ea11-a812-000d3af43595,pUBJxKHO/E+RSHdS6siZnkOY1IUP9enO25YzaWB4Q2JR1VwY3Y9mRfeS9bbJijml1FN5XBWUR0KDY3zZXh7RVw==,2020-07-17 17:58,Elementary,625,4095,,Albus Dumbledore,Active,Active
39876a23-57c8-ea11-a812-000d3af43595,NH5ln+jI3hef6h0ocVY25Iv2TlI3KhkxJJ3rTtqWvsHVhluSgQfkVpIQzTZkD056XeiRsiVSSpiUJgEjdCbmDw==,2020-07-17 17:58,Elementary,650,4190,,Albus Dumbledore,Active,Active
ebc4bf29-57c8-ea11-a812-000d3af43595,yndciD2LnunzlKhtS300iU9f9O7xdR2Eg9Y/3fx+4geO9+aZr8FLT5/MtdRc6mAQrzU76n8Ioj42BYlYwG8i/Q==,2020-07-17 17:58,Elementary,675,4320,,Albus Dumbledore,Active,Active
0405ac5a-57c8-ea11-a812-000d3af43595,CxSAIAQyPOdNMG8R5rrzBLH/0agOvamyDPqx6aY5QVJb20YrbZ7t/gmiQKLHuGu6cleFK4bijnw/yhqKYtOVoQ==,2020-07-17 18:00,Elementary,700,4420,,Albus Dumbledore,Active,Active
1c505261-57c8-ea11-a812-000d3af43595,txzmUW3/8uF2nzKWJ7nwyXi9uYrgDjn6/QxbeHLm5uAuGhruLV1oQUk6jJ+vJgNTea+QzT3P1FRA6fRde7ciXg==,2020-07-17 18:00,Elementary,725,4535,,Albus Dumbledore,Active,Active
42505261-57c8-ea11-a812-000d3af43595,ybWhhv1JB2nzsxPjrG1QWix74zZEwJd1addwIxkWlKn2JPObWdRprIl6RDkEtDVB3wMS7uuoQD12x6ummk4KGA==,2020-07-17 18:00,Elementary,750,4660,,Albus Dumbledore,Active,Active
0c2f9168-57c8-ea11-a812-000d3af43595,KmGyjPmumfXe0OT9ilXuoB2skekhj3R44PYfWfovEFpMOMt1OU48+aoibS+eHikm/D0SUTd8lglWxR3WPPKkng==,2020-07-17 18:00,Elementary,775,4765,,Albus Dumbledore,Active,Active
232f9168-57c8-ea11-a812-000d3af43595,UAseXVKIG5ocD9sz1Vp8jeYyfioPK6nF4UfI4ml+LFDaCJq/o2spQzECjy8T00Xrof2WdELTJ+9pJNWEWjdEVg==,2020-07-17 18:00,Elementary,800,4865,,Albus Dumbledore,Active,Active
65002555-6ad3-ea11-a813-000d3af42496,hRKC+m5ESPhqn6QjpY3dfmuxBMe5oNXYY3zOGJMC6m/iLQk5CkQLwENKoYM6ORp80cgh+fZ9NPNjw4rYikkggg==,2020-07-31 20:13,Junior Middle,200,2820,,Albus Dumbledore,Active,Active
