(Do Not Modify) Space Allocation,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,School Type,Design Capacity,Space Allocation,Name,Owner,Status,Status Reason
f647cb5b-6ad3-ea11-a813-000d3af42496,DHM63FdYPtUMrhwiFMp9wOrZqOHsiSHmKUOXRTeqTLWt6YWmEk3vNRC33QX1ospKoKUgiaJDah6//LU9SC4X8A==,2020-07-31 20:14,Junior Middle,250,3240,,Albus Dumbledore,Active,Active
58ebc561-6ad3-ea11-a813-000d3af42496,xZwRbMa/gn/7M04fyuvQYmhbZ5SiogDfzfHmtUDKWVzomBEIG/GvkE5AnBuBhy4PucdMqHwHUpBgu02U1JetaA==,2020-07-31 20:14,Junior Middle,300,3525,,Albus Dumbledore,Active,Active
c37dcc67-6ad3-ea11-a813-000d3af42496,zsTHUE2Z9SX2Dxt9t43HdosqOGhYfG1v2BLLrtFfMgXl5BjACIFtCLSNEhPOpYGqb6gI/KCTSDSJR3CZeIDjaw==,2020-07-31 20:14,Junior Middle,350,3810,,Albus Dumbledore,Active,Active
38d692e6-57c8-ea11-a812-000d3af43595,Jv2ULUGgXDu94q1bcVgXzQ4cIGCW1TD0rSuL7I77yZC331rG/m1DF+mSg0E/XE4RLLVx6AQ24RAI6hpHqQHBWA==,2020-07-17 18:04,Junior Middle,400,4210,,Albus Dumbledore,Active,Active
898bcaed-57c8-ea11-a812-000d3af43595,coM79flYSiibRiREefGcKQ1zQksSVryOv1GYyIHVxqN4atdaGVEi/fkxzXxpuV6yXG/zX5f+YTvYh/5XbkOxmw==,2020-07-31 20:14,Junior Middle,450,4650,,Albus Dumbledore,Active,Active
70c8c2f3-57c8-ea11-a812-000d3af43595,sHqOoN/Sll4ql1U5lbisHTW6peaZxQFrFsN2XmjmzMIimtOKhOAa6AXq9vwR98WBvdfvBXyxu9s5R/8cG+QM3A==,2020-07-31 20:14,Junior Middle,500,4935,,Albus Dumbledore,Active,Active
ffd947fa-57c8-ea11-a812-000d3af43595,FdPMRIfPOhD43FtQ12fCspCwARM2NlDH9G2NRg+9aTyJ9FBUqxIyKXyps4xrCISPcCy0Kcp6Nhk1waQj4jQ0lw==,2020-07-31 20:14,Junior Middle,550,5265,,Albus Dumbledore,Active,Active
1dda47fa-57c8-ea11-a812-000d3af43595,ePy86li/ftti3S5RCr2bAzC2cgTw1fIPxAir6TUuwlx9GINk2Idpx7fmEAG2jxnUtLRB7nbymyQ886S077mTAQ==,2020-07-31 20:15,Junior Middle,600,5500,,Albus Dumbledore,Active,Active
1cba4900-58c8-ea11-a812-000d3af43595,eK/THALT6VEFUPpXXSdZthm6eXpIckQ7wryLLA4DVQuY6Y7pCOLHaHIbaVest9zXyrUbTO9KMxyIO89ElgJedg==,2020-07-31 20:15,Junior Middle,650,5775,,Albus Dumbledore,Active,Active
5a5e7f0c-58c8-ea11-a812-000d3af43595,EUz61yFlnFloKIPYsm6G/Nprm5KCjl6c3frQa8nSizaTAMcCLtcCDR4rVL9rNDjBAZxIxnS5ZKjFfKWgA/lhBQ==,2020-07-31 20:15,Junior Middle,700,6220,,Albus Dumbledore,Active,Active
2b98d412-58c8-ea11-a812-000d3af43595,/VPcAFoDjwL0mjwGWTHTwxHu7Ecg3lZjuVEb3AwiutLBg1f1xyevlBMCR8EnKMnU4Ic2JmUjVwr/oa2Zbv19Tg==,2020-07-31 20:15,Junior Middle,750,6475,,Albus Dumbledore,Active,Active
6f8ed618-58c8-ea11-a812-000d3af43595,8Dy+3cq9jRwWDN2EGK5snfgyFG4ur8FwczNxZls5omPl1/IF1q75zJjXGM93SJcOQDayJq+wRtC90fg/1i/R1Q==,2020-07-31 20:15,Junior Middle,800,6725,,Albus Dumbledore,Active,Active
f706e91e-58c8-ea11-a812-000d3af43595,5jWaTc4dXYOYmzILIYvv126zbJ5kMMG+SRoRdh4yTaVDcSj7HWq3cnaNZY/RQtKdNsw4KbeBuU6T7UerCKcvyg==,2020-07-31 20:15,Junior Middle,850,7325,,Albus Dumbledore,Active,Active
6896a325-58c8-ea11-a812-000d3af43595,8EldkXbQ3E9IlwZCw8TbjWVuotV6F3MRI+q1Eym+CIS8xZckxHRy6oaVBcmNiiYp82d44fjFc9fhEW3FJPTbmg==,2020-07-31 20:15,Junior Middle,900,7580,,Albus Dumbledore,Active,Active
d0140d2c-58c8-ea11-a812-000d3af43595,ovq09CUq/6CwMEfIgcn3PgLeELbEQCAF09yjBtlpLtA9emnlr73/U5RzvEb0mxVcgV0NrgTB76/NP905BHTPZg==,2020-07-31 20:15,Junior Middle,950,7860,,Albus Dumbledore,Active,Active
04150d2c-58c8-ea11-a812-000d3af43595,kBeC79Cjge9vGufMz38IMzaaxjep1glC7XWICb+/zVppd82IgD+m4gEHUPaSZsS/wcAC5JiVFXbxEhBcDv5zuA==,2020-07-31 20:16,Junior Middle,1000,8190,,Albus Dumbledore,Active,Active
e87b90bd-6ad3-ea11-a813-000d3af42496,Mnib43/b+MZoLvOC9pxUxUvEowrvu7RkrJFTB7YwqVyLP6iMJY7cHESENuuxvVj0oDAopia7woDV9lf5wFgIUA==,2020-07-31 20:16,Secondary,200,3490,,Albus Dumbledore,Active,Active
917ebac9-6ad3-ea11-a813-000d3af42496,DXlGR7lo4Id+mTd2f39moYAojeYFBFP0MVGYOOO6uDEhNG5XzSNgg7NurjJn+JIJTSmpmTy9WymO5rwgOBYYsA==,2020-07-31 20:17,Secondary,250,3835,,Albus Dumbledore,Active,Active
b57ebac9-6ad3-ea11-a813-000d3af42496,wfXNuFv3BTZTf3W+J4fztJY00yv1Q7RFtvWNSjNj72tb0zdWTakmJI4FwdKxJePDVzsvQOQ5hPKX9KyLUA7tlA==,2020-07-31 20:17,Secondary,300,4200,,Albus Dumbledore,Active,Active
4271c3cf-6ad3-ea11-a813-000d3af42496,EYSFocDq95Q/dwT12MQPaMknGGuz48IhyttPF7w1O7PilFLo2am1qQ5GdvgT7wwkqfhcGIkAtHc/Mb+cCpEkUw==,2020-07-31 20:17,Secondary,350,4645,,Albus Dumbledore,Active,Active
88e053bc-58c8-ea11-a812-000d3af43595,zZbsafWTzCxPUrsDNj3GPaBOdOHhw8ZCT07YDhzp+S1hdLv9G31Kb5aaCWD4DlkJbvqMMw/0RYKH4JdZqyc2/Q==,2020-07-17 18:10,Secondary,400,5025,,Albus Dumbledore,Active,Active
686ef2c8-58c8-ea11-a812-000d3af43595,XBLBrqjfskRReoo3w1DUctQKzG7Cdza/CTbu1XwOv3KXdcXMsrOR3YCaEkwhYfIlq6GLuEFsk27QyHG1yO4rAQ==,2020-07-17 18:10,Secondary,450,5640,,Albus Dumbledore,Active,Active
3bafeace-58c8-ea11-a812-000d3af43595,be5gnamdoPognhXOiFKed/xfNmHdDMLvNhdJP77fpAsUkBtr8Z5pc8guPStvRj0XKAHZ6pnEcwsuQN4BSzDQqQ==,2020-07-17 18:10,Secondary,500,6155,,Albus Dumbledore,Active,Active
81a1f3d4-58c8-ea11-a812-000d3af43595,wohYjCgAAxDQv3/9rrig8OX1BApl1HVn8+xYRg6fAx7Za4DJYH1veHOd7zxBnhb+5973kJhZf8hufwxlbRvAOg==,2020-07-17 18:10,Secondary,550,6500,,Albus Dumbledore,Active,Active
e295f9e0-58c8-ea11-a812-000d3af43595,gyRJv/QCArxZfnrZHp8+5VMLnYpXii025YzLz8bD0QG3W+I48GGBQSfoAF07m4LwSyHHoykHF+kty9HgYdF+vQ==,2020-07-17 18:11,Secondary,600,6930,,Albus Dumbledore,Active,Active
3934125e-59c8-ea11-a812-000d3af43595,bm8/3GyQbjrtSnKqI6y0z9lk7A7VNYvmdeirHof6UrVR/O1btr0nrIh0566M3KIXHJpYQPR+bBcXwlAi4hbTHQ==,2020-07-17 18:14,Secondary,650,7840,,Albus Dumbledore,Active,Active
ba35b9e8-58c8-ea11-a812-000d3af43595,orgNfpyym2AzwRocFjxZyo+YhFnRGYYV+RM5OvSL3y4Aof4VgxAXovmjNHxJZHbEqu2zawip8WnOBEs70rHfmA==,2020-07-17 18:11,Secondary,700,7835,,Albus Dumbledore,Active,Active
aee9e5ee-58c8-ea11-a812-000d3af43595,ai6teJOXj3jmlCnxL+DLHNmmGnWtcJVcIz0ATJqRlA6NbSLuZtqzM+0bFiS/UBg+Cy/7fWGFQzurpB9csARSrg==,2020-07-17 18:11,Secondary,750,8170,,Albus Dumbledore,Active,Active
b8e9e5ee-58c8-ea11-a812-000d3af43595,8dK4NbFpCKh7esy55zJlgvvKJLRIOsqxFkeawaV93oAYt64C4zO49leAugnVdOmDlHNwOtNe2lFD5l9ArLFlnA==,2020-07-17 18:11,Secondary,800,8568,,Albus Dumbledore,Active,Active
cf8cfff4-58c8-ea11-a812-000d3af43595,62epUnOg6QbC7KSTs+EnzNKBCmRaqDLESl3zTeSaSninAN6+bkCQ5Nir3F/w5b5mQtFDX9kUXsoMIg8o1Rc1Pw==,2020-07-17 18:11,Secondary,850,9120,,Albus Dumbledore,Active,Active
b9c920fb-58c8-ea11-a812-000d3af43595,qNHnii3GLoW9zm3rUxpZ7H/idzr7SJkOr7rOpfB3ZAU37JMamwsXljkNd7jKGtI3zeOJw56bpt+YvDhTjrj4VQ==,2020-07-17 18:11,Secondary,900,9590,,Albus Dumbledore,Active,Active
d9922201-59c8-ea11-a812-000d3af43595,LYpdkUTgRPM5VKbL6+wAT1EPtI64zya6tEU4o55zepcvLhQGN+g1XXM3bu0xEaGncQMvIpnKP3iXwV14CAlsLw==,2020-07-17 18:11,Secondary,1000,10240,,Albus Dumbledore,Active,Active
32fb2107-59c8-ea11-a812-000d3af43595,gJv+xZGt4jrPdovmZZLtI2vfuBFP21iQrozu+OiWoIXLQff2Og5LJjJkYcWcqB20hqGaDX8wF13gYlL6b2yqww==,2020-07-17 18:12,Secondary,1100,11140,,Albus Dumbledore,Active,Active
81fb2107-59c8-ea11-a812-000d3af43595,E+05+Toa8gWEQBlNbf13JeneWMy9A0It4PrqZ8JV431dizTrmcC/ljb40kfGtXDEOTFeW0apc/W3foxgaGJ6Nw==,2020-07-17 18:12,Secondary,1200,11770,,Albus Dumbledore,Active,Active
2e3e1a0d-59c8-ea11-a812-000d3af43595,n+X+cFQYMy/Jt57ODpkjKY5qeOh9pQD4/nIQ7bP2wqvuGfC64MPkSs1fSiCwtznNYv7/wONZqe1Y6JwsfZvZGw==,2020-07-17 18:12,Secondary,1300,12400,,Albus Dumbledore,Active,Active
8362131a-59c8-ea11-a812-000d3af43595,W1JF7Mva94KtrdxRkVDfQxDyaaes/QC1aJxaPNKUCx+oLDxkSrskRs7w99hrrM0lPFRe44tO1G2KTIBleOJlUA==,2020-07-17 18:12,Secondary,1400,13055,,Albus Dumbledore,Active,Active
dee86d20-59c8-ea11-a812-000d3af43595,yqYjZj3i4vU2UY5m/7zR2hSmuGEMGmaypIkrcyGve7CPlz5TpF+lsHcKn2jvuJfIysvMSMZb6Z4ulVG23Utf4Q==,2020-07-17 18:12,Secondary,1500,13685,,Albus Dumbledore,Active,Active
57cb6c26-59c8-ea11-a812-000d3af43595,17ZFufsFh6sqtIQHAX3hAXBMrZwHOlydYJVUdP7UgvtmwzUPs/InoFMP4Utg2IkTaw6mYnbfMmPq865XMfwIfw==,2020-07-17 18:13,Secondary,1600,14395,,Albus Dumbledore,Active,Active
cb7fb82c-59c8-ea11-a812-000d3af43595,3+fmKqlUEB99LhnyqMwBh2q9svA0vC2ojX/cQ7A1sfEjpCWPFAbBouTUYPWgtkD99g7J5sNQS3qcre0NZOleng==,2020-07-17 18:13,Secondary,1700,15040,,Albus Dumbledore,Active,Active
6048d932-59c8-ea11-a812-000d3af43595,ZW1qzKNy2xUuGonh0N7LYKVlS4xAUBP4Qf6+VhKWhx9DksywZV8N/ehXxjXUQcEfqsy4n3WaY2mc8DfBDdMkKw==,2020-07-17 18:13,Secondary,1800,15670,,Albus Dumbledore,Active,Active
6c48d932-59c8-ea11-a812-000d3af43595,lc5ec/lyX+3ZEcFRyMDGhlud3RvNUpV/RnUi5aXgZ/XMwah3nlfS59I5Ma/D6+8dRX10NyOYcY5DAYOYDjrijg==,2020-07-17 18:13,Secondary,1900,16390,,Albus Dumbledore,Active,Active
7a12163f-59c8-ea11-a812-000d3af43595,CTRup7uY5Hep3FZt0vHp7w/YzrCjdQ6xUDpmy7IoCURcLydI9qk3yEt+E+B0pqeElAX3JkxgbNmckk+ahty32w==,2020-07-17 18:13,Secondary,2000,17055,,Albus Dumbledore,Active,Active
8812163f-59c8-ea11-a812-000d3af43595,1v3KR54Vy86CBHXhPh1cTjDLi+bqAaduk77hH6Jb8KDNy0ymCHRTXVkaiwDAlTsFGwfIPsZy+NVVUeWdv7Ee7w==,2020-07-17 18:13,Secondary,2100,17815,,Albus Dumbledore,Active,Active
78145145-59c8-ea11-a812-000d3af43595,FB+n7FmjgALgpT0AFy6IJ0WjDdV7dp6j384oS8/Fuk+a+6TJcU4nmiQEOYcUnrOEMrBmww/UTSmbFqsrhpDJfw==,2020-07-17 18:13,Secondary,2200,18550,,Albus Dumbledore,Active,Active
8e145145-59c8-ea11-a812-000d3af43595,neNjxMYshEJn/kQA68PBl4/W/a+2nnAeomIGJI5bOBeztCLqXaAtYXv8VF7MPUMt90pYKlNd1xgmb9jINboIRw==,2020-07-17 18:14,Secondary,2300,19230,,Albus Dumbledore,Active,Active
8014ca4b-59c8-ea11-a812-000d3af43595,ZQcwnqNHXYavmHWLqVyPJMloTh0nQMqU2qfkLHzG6kfmu6qzYpAeLjY0WXcki84yKSchRf6ZO1wdt7KOkYq1RQ==,2020-07-17 18:14,Secondary,2400,19910,,Albus Dumbledore,Active,Active
dfe6bec0-b8d1-ea11-a813-000d3af42496,0CB0gl0BbBC6VkYLgndQJqCSOzxoykYLu9VRGtQHFYrARvKpa/8wFA7ZjewGRAjUSckJ036MfROYJYYdHViuMw==,2020-07-29 16:30,Secondary,2500,20580,,Albus Dumbledore,Active,Active
f0012235-6ad3-ea11-a813-000d3af42496,qsJUe53rZMFZsLiuAar7IXrPkQrl5cQ/cPBsvilNhlxWv7LfLFQxSrRIC+iCqwGA3Ab1u5L7Xa3JCAY2N8oJTA==,2020-07-31 20:12,Senior Middle,200,3010,,Albus Dumbledore,Active,Active
d1eb033c-6ad3-ea11-a813-000d3af42496,QC052uczc0yJCTTbSVpKw7Kv+mHvmvEwIoIiiaTGBA1N4lOBiPvQmUOwUQee44mRJicPr9poVlUzsfL+LbRTVA==,2020-07-31 20:13,Senior Middle,250,3320,,Albus Dumbledore,Active,Active
59faec42-6ad3-ea11-a813-000d3af42496,zlvheTBhVo5edFClHF+rGiSJ0LT6FA51P20XAZ9hIy9qs2pjSTovZwbm6I4Pmzu8D6X0qVU65HT/gbNGH+yQyw==,2020-07-31 20:13,Senior Middle,300,3575,,Albus Dumbledore,Active,Active
0dcaee48-6ad3-ea11-a813-000d3af42496,fSO0Vv8okqtYc34h6ivy4IM/zauZLCR2JCIuOZPJEjBCFwSBR9aJjP65gXkwe3gQH/WtoZEgTEsznHO7DL4Kgg==,2020-07-31 20:13,Senior Middle,350,3860,,Albus Dumbledore,Active,Active
eb80c03e-58c8-ea11-a812-000d3af43595,vjbLKARdxIyM1SZLaf/UkIWDK5zQRf5FxxevFwOALtHG+ZdbbZ9GWZdZv2rMg9O0ZRqJ+iZBuZsW9qd8400qCw==,2020-07-17 18:06,Senior Middle,400,4210,,Albus Dumbledore,Active,Active
37c0d744-58c8-ea11-a812-000d3af43595,00k7PgYFkLLnmTJ+kVGbZrKKHs0xOGtAIW5UZFIMc3PvRlbmy2il95h3LSoXmELBUOg3kF0GychhWrc+KFJ2/A==,2020-07-17 18:06,Senior Middle,450,4780,,Albus Dumbledore,Active,Active
0bfb0d4b-58c8-ea11-a812-000d3af43595,+vNvWJiED/+ggqEWU2eDnyAcV+uM9Agk0weF0mjqqlJqBglvtnmn+ZYtym5zvkGIr8fxQOTa13ilUFobS8QT/A==,2020-07-17 18:06,Senior Middle,500,5090,,Albus Dumbledore,Active,Active
fd3d0651-58c8-ea11-a812-000d3af43595,W8CNmt3dRWubs87ijOdmau4MmTOJ9Z43NCvc5jQAHqFc5e9l72QKJxLo5GptcYOvWLbgETfxsjJYYghZoiT+EQ==,2020-07-17 18:07,Senior Middle,550,5500,,Albus Dumbledore,Active,Active
3b3e0651-58c8-ea11-a812-000d3af43595,B28MUvmj6GuODIrAjNfT57Rscp0d2BHo+Age+p+2tDsg4xtu7a3pDy99dbJoPmKh5pVQLQEQk4hl6k0wIJITSQ==,2020-07-17 18:07,Senior Middle,600,5740,,Albus Dumbledore,Active,Active
a1159757-58c8-ea11-a812-000d3af43595,qUivj3oDODALOobxcdBiyg8KQHOmn/W1kSK7HRArGMRmxRBpVW5RWl2NsRWp2S2nCJmMEfmdQ+uARvu24SU+eg==,2020-07-17 18:07,Senior Middle,650,6020,,Albus Dumbledore,Active,Active
31568f5d-58c8-ea11-a812-000d3af43595,PUe+friRQ4wjrI5OWndObtcwPqMH9omz8P0PK+AuPOXta4A8SvRh5fxx3QlNOVRd1AkXi/2Zdoe36rnMeY8VyA==,2020-07-17 18:07,Senior Middle,700,6495,,Albus Dumbledore,Active,Active
3c578f5d-58c8-ea11-a812-000d3af43595,M1vZPb4Gh+MG4U6cAyzrRNp5e7WZ5nxQYH3NlyeAwcP247JO1ROy7MCtn0Y3yQ1zOnC2vp5iFxlarHITn5Rt8A==,2020-07-17 18:07,Senior Middle,750,6640,,Albus Dumbledore,Active,Active
e7f78963-58c8-ea11-a812-000d3af43595,bxIWoPpHosIQqiwpnnbLYrky04bvN0TbucxPxhCKjgaPq3r9vC/3gg7Hw5j7r88Aje6f+sCMkjBh5+3nKkt6qw==,2020-07-17 18:07,Senior Middle,800,6900,,Albus Dumbledore,Active,Active
b80e9a69-58c8-ea11-a812-000d3af43595,KyX4M91RLM2E2Nuc5u3ST7Me7TChyAPxhAM9q08wiEceWNCzo2vbo9ly1lZN6IsOeNsMju9fQ/K6CVP62W0wuw==,2020-07-17 18:07,Senior Middle,850,7600,,Albus Dumbledore,Active,Active
3b77d06f-58c8-ea11-a812-000d3af43595,q3EvMi2QxeoMXDTPGk/9hp/J3c54fa0UvIEC4b9w7D8g64OIv9CMbtuMvzEgPCGwnrL0qNIUPyfmuC/8EQ8NAA==,2020-07-17 18:07,Senior Middle,900,7835,,Albus Dumbledore,Active,Active
5277d06f-58c8-ea11-a812-000d3af43595,yQwZVnQm5UMlaqE1bh08KZ14v0hcvbs9Zw2anDVLMq08IChJlSM02CesZcDL6DSIDypru8ILEnV4LVfj7IWDtw==,2020-07-17 18:08,Senior Middle,950,8080,,Albus Dumbledore,Active,Active
