(Do Not Modify) School District,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Number,Region,AFG Funding,Common Name,Freight Rate Allowance,Internal Code,Owner,SD Default Team,Status,Status Reason
89505cb1-2254-ea11-a811-000d3af4316a,55uIpc0bguwSWuH3moBC0kZnIGawp4kedMBqF1WYIjf/THoG11RPH4U3hTIxycextJlfJ058v+VEF55/ThpTuA==,2020-08-31 23:08,Abbotsford (SD34),SD34,Fraser Valley Region,0.029451203,Abbotsford,0.00000,034,Abbotsford (SD34),Abbotsford (SD34),Active,Active
c9505cb1-2254-ea11-a811-000d3af4316a,wmSFpm8QdPlRMSsS3TgSbM4dGcCDDXvP/Jy6NcKEOqGBdodUnICKYXl6l2X8fikK0TO20u9+x33iSXCAZZhXOg==,2020-08-21 18:40,Alberni (SD70),SD70,Vancouver Island Region,0.009013262,,0.03940,070,Alberni (SD70),Alberni (SD70),Active,Active
79505cb1-2254-ea11-a811-000d3af4316a,4M5Mw/KalTWievUq+NYH4i+YS9ylHsGSH+rf8UGKCLCH/MOVSO8jsD3RXzTE6TOT2a9dA3B41+rsjbAqqbX6MA==,2020-08-21 18:35,Arrow Lakes (SD10),SD10,Kootenay-Boundary Region,0.002658119,,0.09047,010,Arrow Lakes (SD10),Arrow Lakes (SD10),Active,Active
ab505cb1-2254-ea11-a811-000d3af4316a,ODl4Wx6MVsZnj7+Pk93irDDu10wN9kRwdg6Xb7o0LVKusBELFmz7OWQZcxkLj8mzNzRoOeVLbRp648843+COcA==,2020-08-21 18:39,Boundary (SD51),SD51,Kootenay-Boundary Region,0.004824288,,0.08609,051,Boundary (SD51),Boundary (SD51),Active,Active
b1505cb1-2254-ea11-a811-000d3af4316a,kcFF7UV8m4JwKQuiEjkTaNcLe02+JBY3LdbQojciYYmcVqroyG2fuNfX9AnqW6xgzXw4IKjSEjFiJm3EiWvkRw==,2020-08-21 18:39,Bulkley Valley (SD54),SD54,Northern Region,0.006029183,,0.11490,054,Bulkley Valley (SD54),Bulkley Valley (SD54),Active,Active
97505cb1-2254-ea11-a811-000d3af4316a,HjO9dRbvwWYLD0cqviPozQ8Vm6+fQeqHHBbt7jnuhni0CiZTsls9KtXkn4/8lsWNG/VzYFOFCIvvzExMFhTsfQ==,2020-08-21 18:37,Burnaby (SD41),SD41,Metro Region,0.039621548,,0.00000,041,Burnaby (SD41),Burnaby (SD41),Active,Active
cd505cb1-2254-ea11-a811-000d3af4316a,trrxT9D8xsJRGcWzjaarikcsp7xaU0HHgK6dd6YuWWRMLvEwTBWfYUGCE05UqwNRiWTbsgElBXhIAfqxD0lZFQ==,2020-08-21 18:40,Campbell River (SD72),SD72,Vancouver Island Region,0.011199025,,0.05238,072,Campbell River (SD72),Campbell River (SD72),Active,Active
83505cb1-2254-ea11-a811-000d3af4316a,6fZisrseGS1y+dQtfw7Hj8Co/qv6lZmU/hKc3rH2YSYQOh0SyHcd2pHZUejXtXcwzrhWH5N3w+YQM9oH75N29g==,2020-08-21 18:36,Cariboo-Chilcotin (SD27),SD27,Northern Region,0.013268386,,0.07403,027,Cariboo-Chilcotin (SD27),Cariboo-Chilcotin (SD27),Active,Active
a7505cb1-2254-ea11-a811-000d3af4316a,j+uAcLuMvhZ4G9npUrajves0Sly9G44SPjAAyRc5cjo+1dMl6zbrzeQ9aNYYYalxcw/Vc6qn+nVEJLa8+2QETA==,2020-08-21 18:38,Central Coast (SD49),SD49,Northern Region,0.002566089,,0.28792,049,Central Coast (SD49),Central Coast (SD49),Active,Active
81505cb1-2254-ea11-a811-000d3af4316a,MQV4vivgDGAi7smbR7N4gpx2w0sogLd82AktFRfdNBBrkNJ3jIK8DynO80njDPuhQpvIm+x8EcX0OL4DWwJf2Q==,2020-08-21 18:36,Central Okanagan (SD23),SD23,Thompson-Okanagan Region,0.033425468,,0.07517,023,Central Okanagan (SD23),Central Okanagan (SD23),Active,Active
87505cb1-2254-ea11-a811-000d3af4316a,rCxUAzHhjmyPqjnzSQuqy+cEsXvquhldvrgVKJw6PWm8g50JTua3V5jFqp6cIPHSlBBtJCn2ToUFec0G08w8uA==,2020-08-21 18:36,Chilliwack (SD33),SD33,Fraser Valley Region,0.019430517,,0.01050,033,Chilliwack (SD33),Chilliwack (SD33),Active,Active
db505cb1-2254-ea11-a811-000d3af4316a,DAee589kj0VJJbVgkmxueAncmb7eVpnImOAAoZdrCnHZNbmWvhwiXAWoXgfsPMAAS2ALCHyoKyiWm1Xh7jmjQA==,2020-08-21 18:41,Coast Mountains (SD82),SD82,Northern Region,0.013120112,,0.13550,082,Coast Mountains (SD82),Coast Mountains (SD82),Active,Active
cb505cb1-2254-ea11-a811-000d3af4316a,qJrdpQ9v1Lgw3znCjijiEvg+sE9ja5vFM5gCdVYeI9F4DlkRkwo0JEzRfZjMRqxPu8t++4elycOdrm7Sm/ircg==,2020-08-21 18:21,Comox Valley (SD71),SD71,Vancouver Island Region,0.014914630,,0.05238,071,Comox Valley (SD71),Comox Valley (SD71),Active,Active
e9505cb1-2254-ea11-a811-000d3af4316a,lSWOXpVf8+O5t5pceg0M8aFQCv7p/ytVF0trood6y3TWRQzQdNfD73Ea/+jx9aTpQ8vGMKz9SYFn7LgQvOkIQw==,2020-08-21 18:46,Conseil scolaire francophone (SD93),SD93,Metro Region,0.011924126,,,093,Conseil scolaire francophone (SD93),Conseil scolaire francophone (SD93),Active,Active
9b505cb1-2254-ea11-a811-000d3af4316a,UOMkGtjQ2Ab6AGRdVRJIWIz9VGJ/39jK5saEmbQEtCAwYjadfx2hO7GsbsUvrt1Q5jbQ/3oc8PI05/0qk7/X1Q==,2020-08-21 18:38,Coquitlam (SD43),SD43,Metro Region,0.048503706,,0.00000,043,Coquitlam (SD43),Coquitlam (SD43),Active,Active
d7505cb1-2254-ea11-a811-000d3af4316a,5v6wzozAvZ1xbxt/QtY6jAYUL6gYUnZIr3L2/g3AH4hbXj6F1tvcDi/d0FEKB7R9EDLExAkBLfVwbVIszx8lIw==,2020-08-21 18:40,Cowichan Valley (SD79),SD79,Vancouver Island Region,0.016346469,,0.03530,079,Cowichan Valley (SD79),Cowichan Valley (SD79),Active,Active
8f505cb1-2254-ea11-a811-000d3af4316a,5G5BsNKZVjR20mylUF2JbA/RWm8ds/ocF2T/ioTw/9Qv2pCnVkQU4Ag6ZDQVRzalkZOEIKoz5oNzJ4KBVV6Nuw==,2020-08-21 18:37,Delta (SD37),SD37,Metro Region,0.026172758,,0.00000,037,PO/RD Team #1,Delta (SD37),Active,Active
d9505cb1-2254-ea11-a811-000d3af4316a,X2EgnSGslGERtEM8U5V/FzDRdxQfLlrOHQJl0aJ62LkQTNxX3X/7c/XyYKU/ansElUMDR7bho6zzNfvFPLdcPA==,2020-08-21 18:40,Fort Nelson (SD81),SD81,Northern Region,0.002749941,,0.17891,081,Fort Nelson (SD81),Fort Nelson (SD81),Active,Active
d5505cb1-2254-ea11-a811-000d3af4316a,/xYilSb4bTZoalBR2en5jZhUFVr5jqSExpkojFErBsk7up4VHgDDHXU87UHTNKupOs0o5OT/ShlRd97+Va9tDQ==,2020-08-21 18:40,Fraser-Cascade (SD78),SD78,Fraser Valley Region,0.004565439,,0.01500,078,Fraser-Cascade (SD78),Fraser-Cascade (SD78),Active,Active
d1505cb1-2254-ea11-a811-000d3af4316a,CtPGgYbiC/h1qx+bZDUCrkXErX1+kpVZIedNrPV2W1gCKLh2OpeLyqZK+ngLXNN2pOspiVaW45KlEmlFTZonAQ==,2020-08-21 18:40,Gold Trail (SD74),SD74,Thompson-Okanagan Region,0.005943967,,0.06993,074,Gold Trail (SD74),Gold Trail (SD74),Active,Active
