(Do Not Modify) Municipality,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Owner,Status,Status Reason
c588da30-4bcc-ea11-a812-000d3af43595,j4g6sD0VmNSQo9iVn/s0G5WH/5RDF+GTLQ4qqZu6cneV9eftghk/VQc6T/WM06ccB1NkS0cI7PCG6D35xEa9lg==,7/22/2020 18:43,Abbotsford,Albus Dumbledore,Active,Active
adda27d0-4bcc-ea11-a812-000d3af43595,L3YPR2qW7BxV1qTKJkDp54Ip30KaePy/9GaapjrfmYIT6Yk6HjAybDN8F5T5bzdsBtZCw2W+bqdIIk1g7wrhZw==,7/22/2020 18:47,Agassiz,Albus Dumbledore,Active,Active
ee338ae2-4bcc-ea11-a812-000d3af43595,fJmUOFQ/4fj0zvM5WsPRNuXKBlOXrAbli74uGPlf3ZmfCmSXrITrqZtqr6n9tGZSHPd6tXrSy12iefRyDNu0dQ==,7/22/2020 18:48,Armstrong,Albus Dumbledore,Active,Active
43e9ff61-4bcc-ea11-a812-000d3af43595,ReHA0rXuZso8vviwlbiywf+fppzmJWQikDbBDzJbz/b/EHB+SJcdvZL7vHzzZJnKccTA6TMVYMfxIxgJ+TAbjg==,7/22/2020 18:44,Bella Coola,Albus Dumbledore,Active,Active
11a29b49-4bcc-ea11-a812-000d3af43595,iHZZah4IZrA+xqEe+IAw1FTRkI0e3KILvzB3IyAUN8fosXiDgtkden/I1nsf7q7qouMiuII2eHSxDDBnxVAq8g==,7/22/2020 18:43,Burnaby,Albus Dumbledore,Active,Active
4e74fbee-4bcc-ea11-a812-000d3af43595,qN7rx6V9HVuLQLHEMsT2YdTAumHScYEppDZPXYJNE/xb5oEo96lS6JeuxHGCVWAXA5APJDSU5DwNpa7VKbeLOw==,7/22/2020 18:48,Burns Lake,Albus Dumbledore,Active,Active
909bb6c3-4bcc-ea11-a812-000d3af43595,zP0QSbgFvLhAMZV70ueXQE+UeLSv2rTIvFU9yn2zFDIbxDdkjxi1OHhlDWMw88kzTRfUngX+XQBqo5q/kUHqVQ==,7/22/2020 18:47,Cache Creek,Albus Dumbledore,Active,Active
f63da3b6-4bcc-ea11-a812-000d3af43595,AoRIelUqs2Bhkv2/nmCaL0kqFr1cBnsm866UGySGHJ5SIcoWuZ1h8xlTZVBS4PgIVRBVbZatCe1aYruFeVi/Sg==,7/22/2020 18:47,Campbell River,Albus Dumbledore,Active,Active
d03d801d-4bcc-ea11-a812-000d3af43595,AOpr7JIWcAc3b+H97CvK7M1zrx7OWTBahAm0C8m42Oxo2+ZAftyCxbLu3a47BeJeX6G1Kxl7ET50OI5zwwDsUg==,7/22/2020 18:42,Castlegar,Albus Dumbledore,Active,Active
ab88da30-4bcc-ea11-a812-000d3af43595,JIILex9zL2t1uEHNI8jG3PzA4MAKkToawNLZqVib333Zv1er722hlhVAMcv+SZ62/mfLtLcFKWiaIc/5yrxSCg==,7/22/2020 18:43,Chilliwack,Albus Dumbledore,Active,Active
9cb2f3bc-4bcc-ea11-a812-000d3af43595,lL5UENAcG+W6bpEFmVT+P3HD5LJvisKdVmBdbKwxr2cofx43FCiGXeOAP8+HqCZs3OAy0mPg9Ig9kx73sDxumw==,7/22/2020 18:47,Clearwater,Albus Dumbledore,Active,Active
80e4934f-4bcc-ea11-a812-000d3af43595,zHGicarPjVpBXNAy5BnjSch5UVs+C0+Yac2MiNQIS4hAzfgEhUjYSWOprwyGSJvhHf3UBRMXCCMBx9nI7sJqmw==,7/22/2020 18:44,Coquitlam,Albus Dumbledore,Active,Active
863ca3b6-4bcc-ea11-a812-000d3af43595,TGj5xKkz91Dowqu1lwn1Pcb6jHsK7Ymdp+BelZg925WDY3gpOUcrNeKJirbKP0w0f4pmTuypZJtSBjr+fov4uQ==,7/22/2020 18:46,Courtenay,Albus Dumbledore,Active,Active
d0eb3ceb-4acc-ea11-a812-000d3af43595,Ouss0SjgdeYmy728D7UN7sdHp+hpqdSu0h8RkX8JDKMWMZBxw+JSnZO0hggBv6fpk1Cut2cRIor0Cos4w+4RkQ==,7/22/2020 18:41,Cranbrook,Albus Dumbledore,Active,Active
8dc75f04-4bcc-ea11-a812-000d3af43595,mEKx5Gh5iJxM8c0qpr3Mx+yzFyp9bex3bTX6dwfYwslU3vCuqRJQ9v+m1l24sUCSgVV5CpzZpB2+pqLZ79d5hQ==,7/22/2020 18:42,Creston,Albus Dumbledore,Active,Active
7769f397-4bcc-ea11-a812-000d3af43595,h3h0gCcvZ4TFQM3dq1zya/3sRFEvPCo/uykBKwr3FaMU0g5KeDSGRLrGiEEqeCrU5roqAUx9+gaDmRyf3kS9bw==,7/22/2020 18:46,Dawson Creek,Albus Dumbledore,Active,Active
