(Do Not Modify) Municipality,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Owner,Status,Status Reason
d7c4d236-4bcc-ea11-a812-000d3af43595,G9T9nu0snCJZaAAT0Y1BsA1F/PxGoxfyvCUPI43dWDA03qGdb6V2Wyis8qxI/jvkTIWwWpbiZMPp80EfR+bU+w==,7/22/2020 18:43,Delta,Albus Dumbledore,Active,Active
387d22d6-4bcc-ea11-a812-000d3af43595,0gHANtaD4M8XYF+J8U1lqdPwjOc3UVDzhv8VozG6OB4vw5cpRg0cNRD8OIHoiL0+pK3ilY5uKGJKnwUH2GyH3g==,7/22/2020 18:47,Duncan,Albus Dumbledore,Active,Active
d1eb3ceb-4acc-ea11-a812-000d3af43595,YzAM3JZW5K7tLBeFRtDw8nhkus1VJDcEwMLvPdyGs30jWmAnod/PUdOk8xLlieOo6yWFOJuXRyd85csH0O8Srw==,7/22/2020 18:41,Fernie,Albus Dumbledore,Active,Active
84205bdc-4bcc-ea11-a812-000d3af43595,92yqGtUys9uVGuY9neCf42bjCqraVfwYf672lJNYSbU++B/DI1Nxfk4dnJLGvtuQjGYQ8JoWEHf0N4T8AdrnUg==,7/22/2020 18:47,Fort Nelson,Albus Dumbledore,Active,Active
b1e1059e-4bcc-ea11-a812-000d3af43595,HaiTU/w9qJctn6ns/xN5dCRMRMHrur5ybDGOOqoFoSDtPbIPCTgauP0zRkRDvASwHEybVVbxU3EjsptYouUGqg==,7/22/2020 18:46,Fort St. John,Albus Dumbledore,Active,Active
bee1059e-4bcc-ea11-a812-000d3af43595,oT1hNgvRbQTRYc74PsBfihgdHW+2MX8W95hyCv1I4vh1I137q1Ftwr0KDNP/c7L2hnDnEGJ57HmhHJt5WsPtaA==,7/22/2020 18:46,Ganges,Albus Dumbledore,Active,Active
417582e8-4bcc-ea11-a812-000d3af43595,19NHrU15YSiFOL5zzabP3d7rcWxOJKaT/pExPDwE0BsR7zYG98l7t0i/Y0d9tFNYpX7VV59yBmr3tGzXNivjkw==,7/22/2020 18:48,Gold River,Albus Dumbledore,Active,Active
681460f1-4acc-ea11-a812-000d3af43595,w9sOcU3WM98uZ7n4Ob6P1+Qct0+8zMaLUdSmW5Kh91SJPiwH44jc/5pRLCGQTCOJK7Vbvs8CKy9kQydsOKWhQQ==,7/22/2020 18:41,Golden,Albus Dumbledore,Active,Active
2a4d3d68-4bcc-ea11-a812-000d3af43595,jA3u3ZUEpN9BKSNhMfd+asWA4uTpVatxcxpvDjC3taobjFeTIwC6U32BOshcBm7EKKaE5Jwigu2SuQzH1UKmHw==,7/22/2020 18:44,Grand Forks,Albus Dumbledore,Active,Active
b7e1059e-4bcc-ea11-a812-000d3af43595,KpFerWFutJv0BltyDZIma8PaCfNYUcZc0rGLaIHMm4wNQ+dzmECvEGgwtf2186czEMhZyuF9T4Vx1kJvY3+oEQ==,7/22/2020 18:46,Greater Victoria,Albus Dumbledore,Active,Active
0c4d3d68-4bcc-ea11-a812-000d3af43595,fYgAqfybEh9MINr7j0oOfMkr1xvxs/UeKIMS8G8ZufSbS/lF/pojU4muG/BKn9QaAj2u01fwgw0ZnRCHqymzTg==,7/22/2020 18:44,Haida Gwaii,Albus Dumbledore,Active,Active
bbda27d0-4bcc-ea11-a812-000d3af43595,b6yVjp/7XLLfAzIjeJIlWUFHSXF+EmtYcK6MqjlQjIzqS4tY9WmA/iBLdr01W1wralWLEd75IMHnKAcKL9YnUw==,7/22/2020 18:47,Hope,Albus Dumbledore,Active,Active
52e91e8a-4bcc-ea11-a812-000d3af43595,MZ7ZxEIXrBUS4ZbaVtqSDcA1gCE5caOjA/4ISVRRENnyMlYJidOSo6dyUKFp/b/s90sJlobAOvAlornTDIhqWg==,7/22/2020 18:45,Houston,Albus Dumbledore,Active,Active
7c1460f1-4acc-ea11-a812-000d3af43595,WObA91ioxSp02+5mPqZaLE484znh/uWHbk3qunwVMtwH7dxvVnkwR9gqkR+zGYyRx+f+GlIQwB7ENa66IM/VhA==,7/22/2020 18:41,Invermere,Albus Dumbledore,Active,Active
93b2f3bc-4bcc-ea11-a812-000d3af43595,tEVIm0QAAcjvGPb+RI116LqSBValYXG2IilmlL/YAdoQ0PzLiXV3eDjk0nlPoA5AZf/v9QC+gVTBI4xrxwHqBQ==,7/22/2020 18:47,Kamloops,Albus Dumbledore,Active,Active
acebc00a-4bcc-ea11-a812-000d3af43595,ukk5gJDb3yBD93MKRjNySpyx912gqazGZJlkE6Ad0YIuUct2ORhI5V37HIOH0PcHGfahA5CbbOL9XU3lylW8qg==,7/22/2020 18:42,Kaslo,Albus Dumbledore,Active,Active
2f872624-4bcc-ea11-a812-000d3af43595,eRWi6cpNRr+Z55fmzh18dTvuEm7Rxx83BDyGa7zOFVVlMhCI7XtnY/0+rxGYAwKil0mKALETGTH6vM4q3dPIZQ==,7/22/2020 18:42,Kelowna,Albus Dumbledore,Active,Active
cafd3f75-4bcc-ea11-a812-000d3af43595,6S3lMAZ+FxPghHwcuIruZ5vPOhz67VJPBFSRHWjxTw2ar1O/TQoHnx2VgUB7CY+gyZ/y9s7EbBvqo+Dqmatp/A==,7/22/2020 18:45,Keremeos,Albus Dumbledore,Active,Active
7bc75f04-4bcc-ea11-a812-000d3af43595,b4/Id3KOdgPyjAogJ4Au7MIxavj5ac8NXhQUJIrkge8NJ8gWt37mp08Or2mQZOdixY65Or+o8H7aP3FduVZnSw==,7/22/2020 18:42,Kimberley,Albus Dumbledore,Active,Active
8f205bdc-4bcc-ea11-a812-000d3af43595,2w8YTTQitZOBltl9r4+OStgtLCjXhDBFVXvkB+fyYG/41ti05xf5VnoudRfe/AZxyj7GUDz8zren0D7976uteQ==,7/22/2020 18:48,Kitimat,Albus Dumbledore,Active,Active
bf7e22d6-4bcc-ea11-a812-000d3af43595,LcAZu65tLfzixLCsezjMFVuxos5vxDqGW4/O1Y9NofvJTIPj66mIId8iquvhuWdVIYmh+TzrZbTAZRJNqCHQdA==,7/22/2020 18:47,Lake Cowichan,Albus Dumbledore,Active,Active
f888da30-4bcc-ea11-a812-000d3af43595,nYncCQY6Id+1WcFLZnXGGEKvQ8doQfZXQHHIdLRw4YQIk90wZuHZwKtfFU2EzCGc3rzudfiJZNEjBInf1CRYWA==,7/22/2020 18:43,Langley,Albus Dumbledore,Active,Active
f03a0eca-4bcc-ea11-a812-000d3af43595,BZgod9cG+yl0tHLSmOfUjrT5udxNDTvnWpavroKSfXbBVr4pX1jq9//HuKWMO4P1veLD1c3IIgXKd3nQhgeRkw==,7/22/2020 18:47,Lillooet,Albus Dumbledore,Active,Active
bda29b49-4bcc-ea11-a812-000d3af43595,q4rgBsggGpHla7tKTuwnP6bTPV2HLrMYDaw7x0aDxUZjGoct5X3ll6rhNy46EgMprvQn7g0UTQ//QZYhORscRw==,7/22/2020 18:44,Maple Ridge,Albus Dumbledore,Active,Active
34c6f891-4bcc-ea11-a812-000d3af43595,6ADq1Dm7XbSeEqEOuIVqKtKVvk9RTh/n2aCE+l7VByfhhUMhbBhk3MWXSWvAGVH8IHLmdYL+T1Plhvv/das7HQ==,7/22/2020 18:46,Merritt,Albus Dumbledore,Active,Active
8f860e6f-4bcc-ea11-a812-000d3af43595,IYGjXZz1nWtoEEpYAh1QppS+Ui31c+Dol+QYnq0nCxB3M0isW3D5UjoKiwLtWIDoyfJ6TKQIHYbVPhdUpEKK0g==,7/22/2020 18:44,Midway,Albus Dumbledore,Active,Active
f83a0eca-4bcc-ea11-a812-000d3af43595,s0YtApFj1IxkGie9SV9XFSgmn7iadJ9BzajMBGjz16cc+9EZyXguxUejS/zYux02G+/4oOcbBT+tk+YTlAn4nw==,7/22/2020 18:47,Mission,Albus Dumbledore,Active,Active
0a2ab910-4bcc-ea11-a812-000d3af43595,uOlP/OQjJcadpnFGs1Mlwcto1/vXo+kOgiJ0eA+Z06ojo7Ae1fp1ZUfu+bw7IozWwBiUKHOxOjAxZA0zSpWnEQ==,7/22/2020 18:42,Nakusp,Albus Dumbledore,Active,Active
612239aa-4bcc-ea11-a812-000d3af43595,JDxCVAECkdLUxPsw8ud0M3a50lRzK0uR1Ch8o0PPMZaxUzGR2R2l1Y2I5pZJqY8rQdPdLSzQ6RFoaw4NaseXkw==,7/22/2020 18:46,Nanaimo,Albus Dumbledore,Active,Active
002ab910-4bcc-ea11-a812-000d3af43595,vnysQbNzH0Zrvn0iN/AS4rZQB2io5ESbQm+nbj6m1c64ch9aDTPSIQ7UzvczPogzr0T7a3I18q1Wxs4O9ZriOQ==,7/22/2020 18:42,Nelson,Albus Dumbledore,Active,Active
b1a1fff4-4bcc-ea11-a812-000d3af43595,hjCIVBr51Ybk9JLetLg8VB4uoFoR+DYz7/mdzaESGfHMqzgWa+kzhADrNcO8uiVk+NDoBvdUPhZFHkoqZk0WIQ==,7/22/2020 18:48,New Aiyansh,Albus Dumbledore,Active,Active
80034443-4bcc-ea11-a812-000d3af43595,yhl1TVfn7B6cI5wy18XTO/b7Q2E6saAATX2SlKXPGzE8jj0WICVHS2nIkdu9h0X3dcglVmprziquBOYkQj4gVg==,7/22/2020 18:43,New Westminster,Albus Dumbledore,Active,Active
46bfa855-4bcc-ea11-a812-000d3af43595,4DqXj5iAKS+G780YVNnN9I5+/zF6T8lUqodyEhsJjfTvuG5TuLzZjS8Y9hqXoFBO3cROTPZkjzjg2ix0bNzt7Q==,7/22/2020 18:44,North Vancouver,Albus Dumbledore,Active,Active
672239aa-4bcc-ea11-a812-000d3af43595,Z3f3j/qiZFuwxTgZ59QXuGN2gacevy/mw2dVxAdbAlA1TGRQRCNW9g1oYG0NmuuQRKF4QsqEaP8FgassBJjwwg==,7/22/2020 18:46,Parksville,Albus Dumbledore,Active,Active
7860fea3-4bcc-ea11-a812-000d3af43595,Qii11wGGQAoLKrrG8gynM99ITokbefQhqY/RjNc2UrCQGQW6+GUZuUcfJ1wFnn0V63xtu9IqrR86YJ7KRRtuWw==,7/22/2020 18:46,Penticton,Albus Dumbledore,Active,Active
7cfbaab0-4bcc-ea11-a812-000d3af43595,gAne84kB0lJTKQF9JSWZPETo7a7V71Mc2QP81rIAxEdz5eu29pVs0bVyiTg2JQafYKUmFNJK6fcrOC/RBSz/mQ==,7/22/2020 18:46,Port Alberni,Albus Dumbledore,Active,Active
9f7582e8-4bcc-ea11-a812-000d3af43595,Dv8G1/EmKGuhOiCdpaYBTGQJg8ctASKw35DgmprtUomySH5o4ymkc0Ww26p9DWQZECkI2GWKSFsA0DXzL6EMTQ==,7/22/2020 18:48,Port Hardy,Albus Dumbledore,Active,Active
76a7075c-4bcc-ea11-a812-000d3af43595,XGvQ8Nzzc9wRsgsw4fdmkjxyp+S99gaMjqxtSd2Tcvz3aAmTQk9mTPj5VzFugXbwA3VMr+uG7CkU5IDuUz1hFw==,7/22/2020 18:44,Powell River,Albus Dumbledore,Active,Active
0dc5f891-4bcc-ea11-a812-000d3af43595,fKRCQyDGrQjWEFmDtQCP60Ss9VgTvNhi7QuKwKzabGM51TdcjzFON7Un1GqeWjB0jjEAJbLXaOfkPRINs3dPCg==,7/22/2020 18:45,Prince George,Albus Dumbledore,Active,Active
98860e6f-4bcc-ea11-a812-000d3af43595,N7a3iuYW2uNGsdIj/XecmdstAYF9ySy3onI6Uhd1CikLoQfqbZu5jra58BaN7RJZrxhOBsNYWpSSHQ8+da19YA==,7/22/2020 18:45,Prince Rupert,Albus Dumbledore,Active,Active
a7eb08f2-58cc-ea11-a812-000d3af43595,T4N84K93h7k26zetg2b+lspBOzWz2pV5cukh87kUjhg1xUI+J3REO4aWUGqEDkt+F3xkjR7nYP2EVppY/kbLxg==,7/22/2020 20:21,Princeton,Albus Dumbledore,Active,Active
86c09a2a-4bcc-ea11-a812-000d3af43595,k3RrWdKvJdUVL7rScoW6lDYpeRuMmeTs68mjCEUKeHy5E1DoxO/iCEY9yOLTXmjQ2mdyvOKkwiSGrZredr9P6A==,7/22/2020 18:43,Quesnel,Albus Dumbledore,Active,Active
b8f0f816-4bcc-ea11-a812-000d3af43595,Jyl+IxGRlze0s4fVtFfRvdWKj65WlxhcpXQQWowzrWl8S5l6naooMkFkw2OguCtRSJHpz8W7tBSElvM6FNdClQ==,7/22/2020 18:42,Revelstoke,Albus Dumbledore,Active,Active
cc8ef33c-4bcc-ea11-a812-000d3af43595,ngUDRbxqSYoFcSh9OVDYnVODqPBE2q9UNDzRs2sBrxRjt5X77QCzLrWIxD0Csd+blzjf+q3kiUw4NxHFLDJapA==,7/22/2020 18:43,Richmond,Albus Dumbledore,Active,Active
ca348ae2-4bcc-ea11-a812-000d3af43595,19FJ+PTLgvDayNsVtAekMMIqKn9SDyOnmVeZUtBWF2Fs85uu+7KN7dobo6Tqhnqs2TNEaXDpHsjz7WGN8ylHVQ==,7/22/2020 18:48,Salmon Arm,Albus Dumbledore,Active,Active
71a7075c-4bcc-ea11-a812-000d3af43595,o3cAdr4p6d2V6KkKpjSQbh8GeI7UKHK0LAfRF3EdsEpTHG8iG3+E8Vb0uZxa8p8vOpQ0YDcpggoM4ini9p9CVQ==,7/22/2020 18:44,Sechelt,Albus Dumbledore,Active,Active
51a8075c-4bcc-ea11-a812-000d3af43595,YWooYU/WufhFyBf0R+2q4ZPZSLbXIFw3NfG/2zCcwOUU9vT3PDd2AvOyWnvDdBGjQ4UJFVue9Ov6tLS5Wm3fIQ==,7/22/2020 18:44,Squamish,Albus Dumbledore,Active,Active
4674fbee-4bcc-ea11-a812-000d3af43595,SgqmDUAC2QQoOy40s3upe2Lg9WZTTkB5AF2m5ysPC3rDNzDELBSpdT/eTFPsJJc268SfgUmDQLQGSx90+Xljpw==,7/22/2020 20:30,Stikine,Albus Dumbledore,Active,Active
512239aa-4bcc-ea11-a812-000d3af43595,lhT7TTlgW8h2iWSpYh4RN82CjnhPWVz9lT+5tB+rodPH3pDdc+k2ToGB/PbZG67N2gZvwfoV6DoOBRKKcWrGVQ==,7/22/2020 18:46,Summerland,Albus Dumbledore,Active,Active
cfc4d236-4bcc-ea11-a812-000d3af43595,aoMJdWLiLgPT2GZRqs5jlXLz13lAnDjUHVf4WpgckOMbR30MLMuoFY6g3iicO+eL+XQ1U041qtvaFaXfTMENvQ==,7/22/2020 18:43,Surrey,Albus Dumbledore,Active,Active
95205bdc-4bcc-ea11-a812-000d3af43595,8DjPsd3DBWPFEIeZ6VrSAV1HIGWT03b1jh9dmxDLXIu1qRYBAf5k7/pTvtT8y2cTMT4b0Y3wPXgtVY7haYtdGg==,7/22/2020 18:48,Terrace,Albus Dumbledore,Active,Active
0d3f801d-4bcc-ea11-a812-000d3af43595,pwir3kT11ClCPigl6Pu7Czx0qilDUMVXktsVxKrfRdOCOCh0Ym1Vxxic2wgtOM8kL4fpY67DnrZvXLPCjnxhLA==,7/22/2020 18:42,Trail,Albus Dumbledore,Active,Active
60034443-4bcc-ea11-a812-000d3af43595,7omJCF+vn1J0bkC2nbaa3mMbHa5z9a7s8WwRcAW+B8QjVjV96qzOnmsBJfxgjdANHDTqFDYQ1oRFFR+jejk27g==,7/22/2020 18:43,Vancouver,Albus Dumbledore,Active,Active
07a1fff4-4bcc-ea11-a812-000d3af43595,M2+M2ppWAW+W21l9IjvgScFTBICYPJJHxe8yzvJgRKY4b1LlUlNtgfF2PEzaipxBG90+QknpW65l76xEscYOlw==,7/22/2020 18:48,Vanderhoof,Albus Dumbledore,Active,Active
21872624-4bcc-ea11-a812-000d3af43595,ynSY9c95EaZnoQg3imoataycKD70fvCnELf/WqD/xgUGLYCfbS9y+k57n6uS/5N1sHlnr9kvnwvZ8Cr2n4fmCw==,7/22/2020 18:42,Vernon,Albus Dumbledore,Active,Active
52bfa855-4bcc-ea11-a812-000d3af43595,9+iM8b2No2Ncyno0x61SOB72CJ81+06rgNgBW0zt6nUm6i6TgjhnifyH3YsXvlfIt809L7+smS4d2axBPxH6cw==,7/22/2020 18:44,West Vancouver,Albus Dumbledore,Active,Active
a6e8ff61-4bcc-ea11-a812-000d3af43595,VnxDwhr7bnvKOp3VnuXLi46VW1neokzTnhFuM+kem2coMiWc5inGOBCs8pOXoMHsXPsFEpMVKLasXd2TByKrNw==,7/22/2020 18:44,Whistler,Albus Dumbledore,Active,Active
77c09a2a-4bcc-ea11-a812-000d3af43595,7pKIgWbP5AVEmiF2diK7Xk5enEXZ/mqK1gNZPKS3I7zbHCA/KZObUkSkPiZnD8CnqZgYkYAk3qIIJOyUcw7zTw==,7/22/2020 18:43,Williams Lake,Albus Dumbledore,Active,Active
