(Do Not Modify) Electricity Supplier,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Emission Factor,Owner,Status,Status Reason
35e0a27c-9d73-ea11-a811-000d3af43595,A8x5XQ3mTOo/KW60dK0bGizXqVI8a18NQEQbJKJs/kbYT6pWxQ4Y1KYCH6qQ3WwdFM1xk6tJWStszanphwJtpQ==,3/31/2020 22:18,Alberta,3/31/2020 15:18,0.000800000,Albus Dumbledore,Active,Active
c1319d87-9d73-ea11-a811-000d3af43595,kpqQPCuNsskLoKaFSwm+t9hWYgpAqwOhGGfnx1eIguIrsDMakJf2AFIGzqON2A0WXcLoabseVQdcIbbz/Xurgg==,3/31/2020 22:18,BC Hydro,3/31/2020 15:18,0.000010670,Albus Dumbledore,Active,Active
f9847e96-9d73-ea11-a811-000d3af43595,vuvv+p8JqRRR5PWu06kE4DXeOSQ5UwT9h1R4l26Vkgv9Z41RsWPQ4tQ3TBrGLwYHrfhPx2evWARS33gY2e3PxA==,3/31/2020 22:18,City of Grand Forks,3/31/2020 15:18,0.000002587,Albus Dumbledore,Active,Active
3da032a0-9d73-ea11-a811-000d3af43595,B8mfw78WMB1gLj4rsoT4uFepZg9No5jOvxGhcJ3Udt79EOROqtchNn6x8gMpLyo0pCZjYhmdUl0YIyur+wMfaQ==,3/31/2020 22:19,City of Kelowna,3/31/2020 15:19,0.000002587,Albus Dumbledore,Active,Active
c6292bb7-9d73-ea11-a811-000d3af43595,nCXpe4uzpbnY5qw4iQlNw5vmsMq3JltVYhMrapdjR3cgmCmiFz04eI3AZDpuIiE0B/KNM6U4i3v0OUbIuPwtFg==,3/31/2020 22:19,City of New Westminster,3/31/2020 15:19,0.000010670,Albus Dumbledore,Active,Active
d861f7c6-9d73-ea11-a811-000d3af43595,ykA4OU9yndIFYdiZgiye50kC+PFZLQsD/U7WI7At2asJLIBRUASuPTjYu/cWsUsQCr/VZSz02oLK4tveBe+B/Q==,3/31/2020 22:20,City of Penticton,3/31/2020 15:20,0.000002587,Albus Dumbledore,Active,Active
8c03f2cc-9d73-ea11-a811-000d3af43595,deMaFEsrCZsLLKK+Oa2PTG4ZNr5Ruw2iDnQdHBLWcDTiNnqb8L216Vuf2EH97LZEkvw81+hlj694Oil8h6fRag==,3/31/2020 22:20,City of Summerland,3/31/2020 15:20,0.000002587,Albus Dumbledore,Active,Active
91c7add3-9d73-ea11-a811-000d3af43595,QtyR4FFVnEyjMTxtqFUTIV0Jm6U+fiB0hIXnf5nnYMG1lhgvT7IiA6lO1AnoeJUZzDKWgqaTk+n0do4pIzZuOw==,3/31/2020 22:20,FortisBC,3/31/2020 15:20,0.000002587,Albus Dumbledore,Active,Active
03d722ef-9d73-ea11-a811-000d3af43595,j/HCtDMLZ36QjN6wDAvdUhc+WoPUOYEC+obF6HYl6PWuat1UMPjiE2w42iKc/pWM92w4elxIyibBRZRpt1DrYQ==,3/31/2020 22:21,Kyuquot Power,3/31/2020 15:21,0.000010670,Albus Dumbledore,Active,Active
41b77509-9e73-ea11-a811-000d3af43595,cG4MaPDhxYQhzI+iYEjj+zKYNruEO+eHbEuvK5Ysjcfnc164/xFNJ3w4QqHYZBfcg25++PVar/nMW8PB8v1/Vg==,3/31/2020 22:21,Nelson Hydro,3/31/2020 15:21,0.000001164,Albus Dumbledore,Active,Active
