(Do Not Modify) Project Type,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Type,Submission Category,Budget Calculation Type,Owner,Status,Status Reason
087506cc-2ed0-ea11-a813-000d3af43595,Jh2B1iQIUDUobf4dd1fIm5+gZqVrLXTpaj2hMNnAB9d+IzxT09fJPQjnaPgEmTN86m+m4urOr02g8JLutIZJ+g==,2020-07-27 17:30,Partial Replacement,Replacement/Renovation,Partial Replacement,Albus Dumbledore,Active,Active
cb1de4e5-8ed6-ea11-a813-000d3af43595,hLjJ5aWnNuc49Vjqg62zVgilJ1y17G66lk+0eqEGD15qcyrQbYrAujmx993j0VcdI3AndZ05JeFONQHyKdIfcg==,2020-08-04 20:13,Partial Replacement,Seismic,Partial Seismic,Albus Dumbledore,Active,Active
5dee7c07-2762-ea11-a811-000d3af43595,2c3nJTPHh+kUR3Zw7TnjlmED/Yl8fOwjmMi9kZMtmeoPznyJzspxodWH+B+aaVrjKMDG8fwCRgOovIa3+g3WAw==,2020-07-21 20:25,Plumbing,SEP,,Albus Dumbledore,Active,Active
d96e2c3b-90cb-ea11-a812-000d3af42496,OyFA0Rpyh+wY0KVTCvR4ZiS9iZArTB4ZNPEYR9LJhjrYd2uV+T8hgdxmU/wlw+2XXRujNEybE2VfgxsChfXU/A==,2020-07-21 20:24,Renovation,BEP,,Albus Dumbledore,Active,Active
af81d0d6-2662-ea11-a811-000d3af43595,u51sxb6tYlM/orgv29+mnuORYbegpf53yxTCNTnawA2gwlV9eZVOeITzqIJQixtL5ZFvZnKPtijFRpPEU8mMpw==,2020-07-21 20:24,Renovation,Replacement/Renovation,,Albus Dumbledore,Active,Active
8843ca79-90cb-ea11-a812-000d3af42496,ah/3Vpue7m1IFJnLZ0T+YN8Jcnt5RnGAWfV8n5p9vcXLRWiw1dB7qVRu0orZp3AuGoTiOr4suGBof0DFtWiL2A==,2020-07-21 20:26,Replacement,BUS,,Albus Dumbledore,Active,Active
40110786-90cb-ea11-a812-000d3af42496,e+l57NqsLDdUKKh9UYAmFYEvtUui7jMyHtsWFHII/zci96jwHePtnR726gYnBOKV5cq3mROoYgSBJpR+nazQ/g==,2020-07-21 20:27,Replacement,PEP,,Albus Dumbledore,Active,Active
15ae5c99-90cb-ea11-a812-000d3af42496,SZAtpC8jlmVYdOGMJO2Q8zwtOiqLw4gzXz0YEHt1VnR6vZ2A/BvCEUBOvsF1hImR+O3uCb9c1Zye+JVwS5KX9w==,2020-07-21 20:27,Roofing,AFG,,Albus Dumbledore,Active,Active
aa3ac7df-2662-ea11-a811-000d3af43595,zkJkfxBnLXc1HXcAookVPZPMo4iGy0N1Iip4dNAaZFEW1h9EX161uPNEG8QAEOqGQpZkduKv/QwNub4GkKVWLw==,2020-07-21 20:25,Roofing,SEP,,Albus Dumbledore,Active,Active
8424c3bc-ae59-ea11-a811-000d3af43595,QlpLpixE9FX+iTsghKapJ6pa11o67AmEuQ9OqcwN8L7ZkLhqKN+P56S0O0mn7DXEBJ26cmyBe25fGPVhDnElwA==,2020-07-21 20:23,Site Acquisition,Site Acquisition,,Albus Dumbledore,Active,Active
a45597e1-9fa6-ea11-a813-000d3af42496,sjT2lyL5dZr5lMqD7jKbuABiAIHi5XiUu6ZrZiZyaWRP54i00XzX8dONkrSGujhlcn73Zl2pq3DAMPsQKIRLzQ==,2020-07-21 20:28,Site Upgrades,AFG,,Albus Dumbledore,Active,Active
7e7d95d0-2662-ea11-a811-000d3af43595,rIzbHs/OC2IK3B/VxPoaqOfIMskah40dd83k8C2j232oLxwbJoT82ZLvYWBYe5eM7QGYPHEyvj+2rb0QpZMzkw==,2020-07-23 16:39,Upgrade,Seismic,Seismic Upgrade,Albus Dumbledore,Active,Active
