(Do Not Modify) Community Location,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,School District,Number (School District) (School District),Project Location Factor,Community,Owner,Status,Status Reason
4d425d43-59cc-ea11-a812-000d3af43595,+MWN5XWQfeCymEJmdA/f8ai82WT7UqNG4FSDUOCjfOVLQJeCXGQiDWDXPO2Lcxuk3j6FvRnKQsgSooMbDFr8Gw==,7/28/2020 15:56,Greater Victoria,Saanich (SD63),SD63,1.238,Greater Victoria,Albus Dumbledore,Active,Active
2bf88079-57cc-ea11-a812-000d3af43595,5HytVORplXUgerWDiBcqOzYZP2b1mhZ5Srb/DoZtSKlPY4DZTbOKGGHjhQnHJ1RJSvpoSVQI1I2FUUO6u4p+jA==,7/28/2020 15:56,Squamish,Sea to Sky (SD48),SD48,1.356,Squamish,Albus Dumbledore,Active,Active
8c26917f-57cc-ea11-a812-000d3af43595,BJg03JV6y2rvcxB9/5piVW57I7fqypwlb5U8FmlF+Yqa1X5IIE4bpmd7DBYuNR+RXfShJqdINPDwvdc78Xg31A==,7/28/2020 15:56,Whistler,Sea to Sky (SD48),SD48,1.498,Whistler,Albus Dumbledore,Active,Active
6ca3243d-59cc-ea11-a812-000d3af43595,Fz22M7PTawA7RhlFgBozgCUAd9EbM2Rpsba+x8kCULxZDHw6IvGsCsEfGUzZlbeZ1UHIJ/puya6ZXHiV30GggQ==,7/28/2020 15:56,Greater Victoria,Sooke (SD62),SD62,1.238,Greater Victoria,Albus Dumbledore,Active,Active
8bea2da9-55cc-ea11-a812-000d3af43595,Nu2bWOpOyVDkMDeWMTZGEW4rqqK6jJd6+dCbexH0t6g2xvp+BjEXsxQhdQkg+cNbhN11bm8/FHyxP8ZZrqaCew==,7/28/2020 15:56,Cranbrook,Southeast Kootenay (SD05),SD05,1.297,Cranbrook,Albus Dumbledore,Active,Active
9caeabaf-55cc-ea11-a812-000d3af43595,t8ZjkE3XUWY3pmENTc+O7lVcCGwP/pDAXC2pq/g4ZT2lq5HeOfYW6iAcSHVxypixlCRhFSFDhHb7PCNIa2Cefw==,7/28/2020 15:56,Fernie,Southeast Kootenay (SD05),SD05,1.282,Fernie,Albus Dumbledore,Active,Active
1eb06040-5acc-ea11-a812-000d3af43595,F81dFaVOULFAHaMlIi0VQeUb69CAciW5o8LXxZ9MmgllQJdx1dOxo7dtpS4CiNmHCsFDigQ/qxsaXcMDJ5BbaQ==,7/28/2020 15:56,Stikine,Stikine (SD87),SD87,2.376,Stikine,Albus Dumbledore,Active,Active
b4e24066-57cc-ea11-a812-000d3af43595,gXEPnLOmhCeZ8uKAbMXc1mgsnC1/Zje4gDf4/l+lGrtn+ErHcEDyDccM+2RJi2KiKTka8BskAJdSr3SisV47JA==,7/28/2020 15:56,Sechelt,Sunshine Coast (SD46),SD46,1.442,Sechelt,Albus Dumbledore,Active,Active
959a4f1f-57cc-ea11-a812-000d3af43595,V8Xf2EGoOWJfnrZhiLaOyv3gi7C9lIbgCVgIKPzJ5vg5XpbgK/LFqrr4otq817/WF+zsk9MjP1KkIrk4TYTwnA==,7/28/2020 15:56,Surrey,Surrey (SD36),SD36,1.164,Surrey,Albus Dumbledore,Active,Active
f0fe7f31-57cc-ea11-a812-000d3af43595,D+FhSRXrhxjdwkv+9kYlhpxnmo15gaK7N0FW+sAtAzfmpkZj8B1jofNaYyg2PZ1c5XAaVRnDkMqg1xR/eBRF/Q==,7/28/2020 15:56,Vancouver,Vancouver (SD39),SD39,1.367,Vancouver,Albus Dumbledore,Active,Active
7ecf0f25-5acc-ea11-a812-000d3af43595,Y1G7sx+qGdlrnuu041nipNwj3KZVpQxfsu3rVdc5HFt9qAwBVbokZZ9U4+sBtyCe65aAm3CzXFIcLyGvSnk8uA==,7/28/2020 15:56,Port Hardy,Vancouver Island Region North (SD85),SD85,1.547,Port Hardy,Albus Dumbledore,Active,Active
7368f11e-5acc-ea11-a812-000d3af43595,LQ3TMqJelNonmlOjh+3y9L3X3Pg1jZ7dG6XrDGbbKydk7uEYtQWtajceSo09DfCKsG9VHJ+tOeZ7XAkTPAmo+g==,7/28/2020 15:56,Gold River,Vancouver Island Region West (SD84),SD84,1.569,Gold River,Albus Dumbledore,Active,Active
41919fdf-56cc-ea11-a812-000d3af43595,MqCqEiWa2fM1QG0kCc0R5wtw8636WqqTjJmPl7KcONpB35QL0EpNFwwPXdvOQmE5tKkUYgIQ2K8WU3ks+OXL3A==,7/28/2020 15:56,Vernon,Vernon (SD22),SD22,1.242,Vernon,Albus Dumbledore,Active,Active
473f685f-57cc-ea11-a812-000d3af43595,4W/C+J1soh46xfwbdZGLE1yOcvPRh+jI7ZBuegZEjL+VDvYLdAIRgucYAgkgUxBj6qRXjD8KnpoXApZu8d2m6A==,7/28/2020 15:56,West Vancouver,West Vancouver (SD45),SD45,1.326,West Vancouver,Albus Dumbledore,Active,Active
